train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.437598, test_loss: 0.201849, MSE: 0.177524, IC: 0.011019, RIC: 0.003938, Precision@10: 0.079167
Best model saved at epoch 1 with test_loss: 0.201849
Epoch 2/100, running_loss: 0.116148, test_loss: 0.137711, MSE: 0.118847, IC: 0.016600, RIC: -0.005591, Precision@10: 0.087500
Best model saved at epoch 2 with test_loss: 0.137711
Epoch 3/100, running_loss: 0.060266, test_loss: 0.162552, MSE: 0.141647, IC: 0.005517, RIC: -0.015482, Precision@10: 0.093750
Epoch 4/100, running_loss: 0.037108, test_loss: 0.138310, MSE: 0.119048, IC: 0.026361, RIC: -0.002087, Precision@10: 0.131250
Epoch 5/100, running_loss: 0.027313, test_loss: 0.094731, MSE: 0.078326, IC: 0.019147, RIC: -0.004919, Precision@10: 0.110417
Best model saved at epoch 5 with test_loss: 0.094731
Epoch 6/100, running_loss: 0.023133, test_loss: 0.113337, MSE: 0.095487, IC: -0.026225, RIC: -0.057094, Precision@10: 0.100000
Epoch 7/100, running_loss: 0.021993, test_loss: 0.098359, MSE: 0.082451, IC: 0.020222, RIC: 0.009244, Precision@10: 0.108333
Epoch 8/100, running_loss: 0.020796, test_loss: 0.140690, MSE: 0.122143, IC: 0.009974, RIC: -0.009022, Precision@10: 0.116667
Epoch 9/100, running_loss: 0.020082, test_loss: 0.126782, MSE: 0.108558, IC: -0.017996, RIC: -0.027262, Precision@10: 0.100000
Epoch 10/100, running_loss: 0.017997, test_loss: 0.115766, MSE: 0.098251, IC: -0.017649, RIC: -0.039921, Precision@10: 0.093750
Epoch 11/100, running_loss: 0.018196, test_loss: 0.127263, MSE: 0.108064, IC: -0.051742, RIC: -0.059092, Precision@10: 0.077083
Epoch 12/100, running_loss: 0.020112, test_loss: 0.118664, MSE: 0.101223, IC: 0.003872, RIC: -0.027084, Precision@10: 0.106250
Epoch 13/100, running_loss: 0.017385, test_loss: 0.146698, MSE: 0.127852, IC: 0.002460, RIC: -0.020002, Precision@10: 0.089583
Epoch 14/100, running_loss: 0.017303, test_loss: 0.135319, MSE: 0.116516, IC: -0.011148, RIC: -0.048089, Precision@10: 0.108333
Epoch 15/100, running_loss: 0.017452, test_loss: 0.157167, MSE: 0.136315, IC: -0.006326, RIC: -0.023112, Precision@10: 0.112500
Epoch 16/100, running_loss: 0.015734, test_loss: 0.138125, MSE: 0.118496, IC: 0.038070, RIC: 0.013002, Precision@10: 0.093750
Epoch 17/100, running_loss: 0.016586, test_loss: 0.127304, MSE: 0.110518, IC: 0.046019, RIC: 0.017027, Precision@10: 0.139583
Epoch 18/100, running_loss: 0.016611, test_loss: 0.112026, MSE: 0.095598, IC: 0.040881, RIC: 0.016568, Precision@10: 0.114583
Epoch 19/100, running_loss: 0.015092, test_loss: 0.115254, MSE: 0.099072, IC: 0.027232, RIC: 0.005440, Precision@10: 0.100000
Epoch 20/100, running_loss: 0.014475, test_loss: 0.126606, MSE: 0.109085, IC: 0.048185, RIC: 0.030883, Precision@10: 0.122917
Epoch 21/100, running_loss: 0.014684, test_loss: 0.139470, MSE: 0.121345, IC: 0.056541, RIC: 0.019675, Precision@10: 0.122917
Epoch 22/100, running_loss: 0.015475, test_loss: 0.132506, MSE: 0.114223, IC: 0.028733, RIC: -0.019362, Precision@10: 0.102083
Epoch 23/100, running_loss: 0.017449, test_loss: 0.077512, MSE: 0.063155, IC: 0.032782, RIC: 0.010886, Precision@10: 0.093750
Best model saved at epoch 23 with test_loss: 0.077512
Epoch 24/100, running_loss: 0.016990, test_loss: 0.107846, MSE: 0.091884, IC: 0.031648, RIC: -0.002043, Precision@10: 0.102083
Epoch 25/100, running_loss: 0.013790, test_loss: 0.124485, MSE: 0.104077, IC: -0.015255, RIC: -0.039637, Precision@10: 0.106250
Epoch 26/100, running_loss: 0.013440, test_loss: 0.146249, MSE: 0.125298, IC: 0.001554, RIC: -0.033925, Precision@10: 0.127083
Epoch 27/100, running_loss: 0.013302, test_loss: 0.145501, MSE: 0.127277, IC: 0.013798, RIC: -0.015607, Precision@10: 0.116667
Epoch 28/100, running_loss: 0.013194, test_loss: 0.113599, MSE: 0.096096, IC: 0.032716, RIC: -0.005552, Precision@10: 0.110417
Epoch 29/100, running_loss: 0.012662, test_loss: 0.128973, MSE: 0.108962, IC: -0.015028, RIC: -0.053158, Precision@10: 0.108333
Epoch 30/100, running_loss: 0.014424, test_loss: 0.152101, MSE: 0.132629, IC: 0.034167, RIC: 0.004939, Precision@10: 0.108333
Epoch 31/100, running_loss: 0.013252, test_loss: 0.114356, MSE: 0.096818, IC: -0.009817, RIC: -0.025971, Precision@10: 0.083333
Epoch 32/100, running_loss: 0.013398, test_loss: 0.116766, MSE: 0.098321, IC: -0.002352, RIC: -0.033624, Precision@10: 0.104167
Epoch 33/100, running_loss: 0.013289, test_loss: 0.106621, MSE: 0.089361, IC: 0.005537, RIC: -0.018427, Precision@10: 0.114583
Epoch 34/100, running_loss: 0.013447, test_loss: 0.167237, MSE: 0.146094, IC: -0.009155, RIC: -0.038476, Precision@10: 0.104167
Epoch 35/100, running_loss: 0.014361, test_loss: 0.124709, MSE: 0.106822, IC: -0.006060, RIC: -0.041558, Precision@10: 0.089583
Epoch 36/100, running_loss: 0.013283, test_loss: 0.121229, MSE: 0.103138, IC: 0.011986, RIC: -0.029788, Precision@10: 0.095833
Epoch 37/100, running_loss: 0.016748, test_loss: 0.140066, MSE: 0.121498, IC: 0.015878, RIC: -0.018313, Precision@10: 0.118750
