train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 4389.938087, test_loss: 2379.220459, MSE: 2109.024170, IC: -0.014313, RIC: -0.031320, Precision@10: 0.128125
Best model saved at epoch 1
Epoch 2/100, running_loss: 1087.415431, test_loss: 1579.199056, MSE: 1371.332520, IC: 0.044876, RIC: 0.021447, Precision@10: 0.165625
Epoch 3/100, running_loss: 534.567653, test_loss: 1942.345988, MSE: 1698.168335, IC: -0.031479, RIC: -0.043251, Precision@10: 0.137500
Epoch 4/100, running_loss: 307.785094, test_loss: 2483.607992, MSE: 2237.903076, IC: 0.033367, RIC: 0.025672, Precision@10: 0.164583
Epoch 5/100, running_loss: 256.996019, test_loss: 2627.964844, MSE: 2374.828125, IC: 0.022682, RIC: 0.001345, Precision@10: 0.169792
Epoch 6/100, running_loss: 233.543193, test_loss: 1828.193156, MSE: 1628.798462, IC: 0.033689, RIC: 0.012630, Precision@10: 0.171875
Epoch 7/100, running_loss: 176.887511, test_loss: 2253.956299, MSE: 2010.931641, IC: -0.016057, RIC: -0.037573, Precision@10: 0.146875
Epoch 8/100, running_loss: 160.112143, test_loss: 2257.113118, MSE: 2023.352539, IC: 0.040487, RIC: -0.007607, Precision@10: 0.192708
Epoch 9/100, running_loss: 153.755135, test_loss: 2419.361735, MSE: 2188.927734, IC: 0.008948, RIC: -0.011636, Precision@10: 0.171875
Epoch 10/100, running_loss: 140.728565, test_loss: 1990.924886, MSE: 1781.039185, IC: 0.006706, RIC: -0.030591, Precision@10: 0.162500
Epoch 11/100, running_loss: 138.034364, test_loss: 2258.993164, MSE: 2035.323853, IC: 0.015645, RIC: -0.021273, Precision@10: 0.165625
Epoch 12/100, running_loss: 120.917682, test_loss: 1982.146077, MSE: 1762.375366, IC: 0.015032, RIC: -0.007385, Precision@10: 0.154167
Epoch 13/100, running_loss: 105.726228, test_loss: 2255.733154, MSE: 2029.170410, IC: 0.042953, RIC: 0.014874, Precision@10: 0.177083
Epoch 14/100, running_loss: 95.570208, test_loss: 2397.534017, MSE: 2155.889648, IC: 0.018543, RIC: 0.003986, Precision@10: 0.164583
Epoch 15/100, running_loss: 94.063830, test_loss: 2754.230062, MSE: 2484.854492, IC: -0.025775, RIC: -0.050211, Precision@10: 0.143750
Epoch 16/100, running_loss: 92.239091, test_loss: 2258.926107, MSE: 2015.161011, IC: -0.005840, RIC: -0.041622, Precision@10: 0.157292
Epoch 17/100, running_loss: 91.571381, test_loss: 2239.858968, MSE: 2004.463379, IC: -0.018348, RIC: -0.028125, Precision@10: 0.148958
Epoch 18/100, running_loss: 85.564246, test_loss: 2453.574626, MSE: 2200.775391, IC: -0.010839, RIC: -0.037508, Precision@10: 0.161458
Epoch 19/100, running_loss: 83.322009, test_loss: 2135.949015, MSE: 1894.027344, IC: 0.010743, RIC: -0.002667, Precision@10: 0.171875
Epoch 20/100, running_loss: 81.995380, test_loss: 2396.057048, MSE: 2137.740234, IC: -0.011053, RIC: -0.015616, Precision@10: 0.146875
Epoch 21/100, running_loss: 102.309690, test_loss: 2576.956136, MSE: 2329.276123, IC: 0.042251, RIC: 0.014585, Precision@10: 0.180208
Epoch 22/100, running_loss: 116.542430, test_loss: 1500.267456, MSE: 1305.270996, IC: 0.007139, RIC: -0.002593, Precision@10: 0.162500
Epoch 23/100, running_loss: 132.806023, test_loss: 2075.959351, MSE: 1842.628906, IC: 0.015660, RIC: 0.001364, Precision@10: 0.173958
Epoch 24/100, running_loss: 102.703593, test_loss: 2296.243164, MSE: 2045.422241, IC: -0.005744, RIC: -0.019345, Precision@10: 0.155208
Epoch 25/100, running_loss: 73.391790, test_loss: 2035.263143, MSE: 1822.977539, IC: 0.023382, RIC: 0.003144, Precision@10: 0.168750
Epoch 26/100, running_loss: 74.008196, test_loss: 1974.395630, MSE: 1753.221680, IC: -0.019119, RIC: -0.042807, Precision@10: 0.148958
Epoch 27/100, running_loss: 73.105387, test_loss: 3007.717855, MSE: 2742.625000, IC: -0.008378, RIC: -0.024416, Precision@10: 0.152083
Epoch 28/100, running_loss: 75.627126, test_loss: 2202.968994, MSE: 1973.222046, IC: 0.008242, RIC: -0.002491, Precision@10: 0.162500
Epoch 29/100, running_loss: 67.749318, test_loss: 1987.633667, MSE: 1755.349976, IC: -0.031944, RIC: -0.049294, Precision@10: 0.140625
Epoch 30/100, running_loss: 69.578559, test_loss: 2310.919759, MSE: 2089.361084, IC: 0.027368, RIC: 0.003842, Precision@10: 0.180208
Epoch 31/100, running_loss: 59.642234, test_loss: 1922.000407, MSE: 1702.838745, IC: -0.004448, RIC: -0.035306, Precision@10: 0.158333
Epoch 32/100, running_loss: 57.943029, test_loss: 2575.090820, MSE: 2328.322998, IC: 0.011728, RIC: -0.012877, Precision@10: 0.163542
Epoch 33/100, running_loss: 59.014487, test_loss: 2270.170573, MSE: 2043.988770, IC: 0.001424, RIC: -0.014807, Precision@10: 0.168750
Epoch 34/100, running_loss: 70.556875, test_loss: 2521.489583, MSE: 2266.472900, IC: 0.020337, RIC: 0.009193, Precision@10: 0.159375
Epoch 35/100, running_loss: 68.302743, test_loss: 2166.912638, MSE: 1931.013062, IC: 0.000732, RIC: -0.003123, Precision@10: 0.163542
Epoch 36/100, running_loss: 82.068310, test_loss: 2354.829264, MSE: 2116.074219, IC: 0.004060, RIC: -0.016847, Precision@10: 0.164583
Epoch 37/100, running_loss: 63.669382, test_loss: 2283.109294, MSE: 2046.812378, IC: -0.009243, RIC: -0.021502, Precision@10: 0.167708
Epoch 38/100, running_loss: 63.248729, test_loss: 2257.953451, MSE: 2001.113281, IC: -0.036903, RIC: -0.047361, Precision@10: 0.140625
Epoch 39/100, running_loss: 59.456754, test_loss: 2368.724935, MSE: 2134.100830, IC: 0.004074, RIC: -0.003983, Precision@10: 0.164583
Epoch 40/100, running_loss: 55.603268, test_loss: 2256.120687, MSE: 2016.557617, IC: 0.009930, RIC: -0.010012, Precision@10: 0.146875
Epoch 41/100, running_loss: 50.386382, test_loss: 2342.924154, MSE: 2106.880615, IC: 0.005868, RIC: -0.015193, Precision@10: 0.164583
Epoch 42/100, running_loss: 50.285285, test_loss: 2253.972900, MSE: 2020.550903, IC: 0.000652, RIC: -0.012109, Precision@10: 0.153125
