train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 4348.512445, test_loss: 2378.448405, MSE: 2107.423096, IC: -0.014026, RIC: -0.031521, Precision@10: 0.133333
Epoch 2/100, running_loss: 1071.563357, test_loss: 1571.010010, MSE: 1363.798706, IC: 0.045260, RIC: 0.020755, Precision@10: 0.165625
Epoch 3/100, running_loss: 532.636432, test_loss: 1992.330566, MSE: 1744.530396, IC: -0.031415, RIC: -0.043433, Precision@10: 0.138542
Epoch 4/100, running_loss: 307.913052, test_loss: 2464.509033, MSE: 2220.812256, IC: 0.034028, RIC: 0.025997, Precision@10: 0.166667
Epoch 5/100, running_loss: 259.370272, test_loss: 2896.320964, MSE: 2636.133545, IC: 0.022866, RIC: 0.003360, Precision@10: 0.168750
Epoch 6/100, running_loss: 234.853923, test_loss: 1961.620890, MSE: 1757.786133, IC: 0.034964, RIC: 0.013983, Precision@10: 0.165625
Epoch 7/100, running_loss: 181.225367, test_loss: 2248.211507, MSE: 2004.462891, IC: -0.015329, RIC: -0.037058, Precision@10: 0.146875
Epoch 8/100, running_loss: 175.486622, test_loss: 2258.487142, MSE: 2022.973633, IC: 0.041112, RIC: -0.006318, Precision@10: 0.185417
Epoch 9/100, running_loss: 163.955561, test_loss: 2098.533895, MSE: 1884.495483, IC: 0.012010, RIC: -0.007370, Precision@10: 0.167708
Epoch 10/100, running_loss: 135.878927, test_loss: 2018.093791, MSE: 1804.866577, IC: 0.005117, RIC: -0.036603, Precision@10: 0.153125
Epoch 11/100, running_loss: 129.722420, test_loss: 2063.146322, MSE: 1847.012085, IC: 0.013997, RIC: -0.024301, Precision@10: 0.164583
Epoch 12/100, running_loss: 119.771019, test_loss: 1882.341471, MSE: 1671.647095, IC: 0.015915, RIC: -0.007929, Precision@10: 0.152083
Epoch 13/100, running_loss: 113.884048, test_loss: 1933.520345, MSE: 1722.376953, IC: 0.041425, RIC: 0.011872, Precision@10: 0.171875
Epoch 14/100, running_loss: 101.407302, test_loss: 1972.498861, MSE: 1749.458374, IC: 0.015951, RIC: 0.002321, Precision@10: 0.161458
Epoch 15/100, running_loss: 94.726594, test_loss: 2617.150553, MSE: 2354.144287, IC: -0.026747, RIC: -0.051220, Precision@10: 0.141667
Epoch 16/100, running_loss: 92.473485, test_loss: 2351.527669, MSE: 2102.284180, IC: -0.008148, RIC: -0.045129, Precision@10: 0.166667
Epoch 17/100, running_loss: 92.960081, test_loss: 2326.867839, MSE: 2090.288086, IC: -0.021241, RIC: -0.032086, Precision@10: 0.145833
Epoch 18/100, running_loss: 86.073269, test_loss: 2421.397298, MSE: 2177.403564, IC: -0.009767, RIC: -0.039260, Precision@10: 0.157292
Epoch 19/100, running_loss: 78.800011, test_loss: 2066.365356, MSE: 1837.423828, IC: 0.008674, RIC: -0.006835, Precision@10: 0.170833
Epoch 20/100, running_loss: 80.897327, test_loss: 2014.348226, MSE: 1783.063843, IC: -0.007736, RIC: -0.014281, Precision@10: 0.150000
Epoch 21/100, running_loss: 88.513508, test_loss: 2707.556722, MSE: 2456.079834, IC: 0.041968, RIC: 0.015109, Precision@10: 0.175000
Epoch 22/100, running_loss: 117.235547, test_loss: 1542.572306, MSE: 1348.603394, IC: 0.005223, RIC: -0.003881, Precision@10: 0.160417
Epoch 23/100, running_loss: 119.040858, test_loss: 2077.388794, MSE: 1849.808472, IC: 0.013662, RIC: 0.001538, Precision@10: 0.165625
Epoch 24/100, running_loss: 97.245401, test_loss: 2179.794434, MSE: 1943.967285, IC: -0.005545, RIC: -0.020658, Precision@10: 0.147917
Epoch 25/100, running_loss: 71.576895, test_loss: 2038.840129, MSE: 1828.734375, IC: 0.023986, RIC: 0.002485, Precision@10: 0.165625
Epoch 26/100, running_loss: 70.459875, test_loss: 2014.808675, MSE: 1793.985718, IC: -0.019850, RIC: -0.047088, Precision@10: 0.142708
Epoch 27/100, running_loss: 66.995961, test_loss: 2752.810791, MSE: 2499.840088, IC: -0.007670, RIC: -0.022324, Precision@10: 0.150000
Epoch 28/100, running_loss: 67.486073, test_loss: 2167.998942, MSE: 1944.305298, IC: 0.011783, RIC: 0.001819, Precision@10: 0.161458
Epoch 29/100, running_loss: 67.850062, test_loss: 2091.447062, MSE: 1858.339233, IC: -0.030807, RIC: -0.046719, Precision@10: 0.130208
Epoch 30/100, running_loss: 71.309611, test_loss: 2391.948730, MSE: 2172.085938, IC: 0.029183, RIC: 0.004187, Precision@10: 0.173958
Epoch 31/100, running_loss: 62.864901, test_loss: 1996.712443, MSE: 1777.569946, IC: -0.001888, RIC: -0.030419, Precision@10: 0.150000
Epoch 32/100, running_loss: 57.350746, test_loss: 2579.654460, MSE: 2337.196533, IC: 0.015290, RIC: -0.007642, Precision@10: 0.170833
Epoch 33/100, running_loss: 63.396854, test_loss: 2038.738078, MSE: 1826.552124, IC: 0.006851, RIC: -0.008968, Precision@10: 0.164583
Epoch 34/100, running_loss: 63.007140, test_loss: 2428.680990, MSE: 2183.072754, IC: 0.023437, RIC: 0.010102, Precision@10: 0.160417
Epoch 35/100, running_loss: 63.560919, test_loss: 2258.535685, MSE: 2020.399536, IC: 0.002853, RIC: -0.001364, Precision@10: 0.145833
Epoch 36/100, running_loss: 67.178113, test_loss: 2368.486328, MSE: 2136.104004, IC: 0.006063, RIC: -0.016611, Precision@10: 0.154167
Epoch 37/100, running_loss: 62.554850, test_loss: 1936.949056, MSE: 1716.879028, IC: -0.003504, RIC: -0.013355, Precision@10: 0.169792
Epoch 38/100, running_loss: 59.055488, test_loss: 2126.243490, MSE: 1883.866211, IC: -0.030313, RIC: -0.037321, Precision@10: 0.141667
Epoch 39/100, running_loss: 56.328679, test_loss: 2249.384196, MSE: 2024.845093, IC: 0.010489, RIC: 0.001617, Precision@10: 0.158333
Epoch 40/100, running_loss: 55.244806, test_loss: 2340.496419, MSE: 2096.832275, IC: 0.011860, RIC: -0.008318, Precision@10: 0.142708
Epoch 41/100, running_loss: 55.686179, test_loss: 2236.278402, MSE: 2007.944336, IC: 0.011853, RIC: -0.008712, Precision@10: 0.170833
Epoch 42/100, running_loss: 56.750111, test_loss: 2177.045166, MSE: 1950.273804, IC: 0.009394, RIC: -0.003364, Precision@10: 0.153125
