train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 4331.818098, test_loss: 2334.998291, MSE: 2068.237061, IC: 0.009895, RIC: 0.001302, Precision@10: 0.158333
Epoch 2/100, running_loss: 1146.978228, test_loss: 1502.349813, MSE: 1296.216797, IC: 0.012281, RIC: -0.010875, Precision@10: 0.164583
Epoch 3/100, running_loss: 596.202675, test_loss: 1761.988322, MSE: 1536.757324, IC: -0.001074, RIC: -0.023559, Precision@10: 0.176042
Epoch 4/100, running_loss: 374.015653, test_loss: 1820.722616, MSE: 1599.066284, IC: 0.018593, RIC: -0.012278, Precision@10: 0.182292
Epoch 5/100, running_loss: 263.440456, test_loss: 1680.875326, MSE: 1464.762329, IC: 0.011800, RIC: -0.016158, Precision@10: 0.163542
Epoch 6/100, running_loss: 237.480285, test_loss: 1956.192830, MSE: 1720.696411, IC: -0.037778, RIC: -0.070424, Precision@10: 0.156250
Epoch 7/100, running_loss: 203.833290, test_loss: 1984.931600, MSE: 1760.394531, IC: 0.015236, RIC: 0.003925, Precision@10: 0.177083
Epoch 8/100, running_loss: 188.434397, test_loss: 1600.417643, MSE: 1404.180664, IC: 0.010358, RIC: -0.007765, Precision@10: 0.176042
Epoch 9/100, running_loss: 168.516470, test_loss: 1555.495483, MSE: 1351.921387, IC: -0.019489, RIC: -0.031323, Precision@10: 0.148958
Epoch 10/100, running_loss: 153.477030, test_loss: 1355.993327, MSE: 1166.352661, IC: -0.021281, RIC: -0.047768, Precision@10: 0.156250
Epoch 11/100, running_loss: 142.377169, test_loss: 1725.931559, MSE: 1494.214478, IC: -0.064443, RIC: -0.077416, Precision@10: 0.139583
Epoch 12/100, running_loss: 141.065423, test_loss: 1570.493612, MSE: 1366.809692, IC: -0.010408, RIC: -0.032733, Precision@10: 0.168750
Epoch 13/100, running_loss: 129.418826, test_loss: 1705.796061, MSE: 1496.725708, IC: -0.016834, RIC: -0.031917, Precision@10: 0.156250
Epoch 14/100, running_loss: 145.387449, test_loss: 1331.756470, MSE: 1144.689819, IC: -0.014495, RIC: -0.042629, Precision@10: 0.161458
Epoch 15/100, running_loss: 125.393822, test_loss: 1583.936605, MSE: 1373.925659, IC: -0.008275, RIC: -0.028464, Precision@10: 0.163542
Epoch 16/100, running_loss: 112.280316, test_loss: 1448.688029, MSE: 1243.616821, IC: 0.025125, RIC: 0.012998, Precision@10: 0.172917
Epoch 17/100, running_loss: 110.887618, test_loss: 1610.940592, MSE: 1414.965820, IC: 0.037131, RIC: 0.008210, Precision@10: 0.197917
Epoch 18/100, running_loss: 107.304043, test_loss: 1276.948568, MSE: 1098.241333, IC: 0.021390, RIC: 0.001204, Precision@10: 0.179167
Epoch 19/100, running_loss: 108.645599, test_loss: 1389.904622, MSE: 1203.689331, IC: 0.022181, RIC: -0.003459, Precision@10: 0.180208
Epoch 20/100, running_loss: 103.961997, test_loss: 1310.961955, MSE: 1132.149902, IC: 0.042944, RIC: 0.026997, Precision@10: 0.187500
Epoch 21/100, running_loss: 98.946982, test_loss: 1746.927165, MSE: 1537.473755, IC: 0.042684, RIC: 0.014745, Precision@10: 0.179167
Epoch 22/100, running_loss: 104.743293, test_loss: 1276.480713, MSE: 1095.283203, IC: 0.005969, RIC: -0.031662, Precision@10: 0.168750
Epoch 23/100, running_loss: 94.507191, test_loss: 1517.540731, MSE: 1303.619507, IC: 0.012674, RIC: -0.005705, Precision@10: 0.168750
Epoch 24/100, running_loss: 90.597941, test_loss: 1387.696330, MSE: 1199.963135, IC: 0.012192, RIC: -0.018251, Precision@10: 0.167708
Epoch 25/100, running_loss: 88.667799, test_loss: 1576.287191, MSE: 1351.146118, IC: -0.019503, RIC: -0.036216, Precision@10: 0.152083
Epoch 26/100, running_loss: 87.916412, test_loss: 1863.410156, MSE: 1627.130005, IC: -0.009934, RIC: -0.048576, Precision@10: 0.169792
Epoch 27/100, running_loss: 87.203841, test_loss: 1533.869832, MSE: 1340.324341, IC: 0.000629, RIC: -0.025917, Precision@10: 0.164583
Epoch 28/100, running_loss: 78.879217, test_loss: 1532.397868, MSE: 1332.700073, IC: 0.013779, RIC: -0.014615, Precision@10: 0.159375
Epoch 29/100, running_loss: 80.136025, test_loss: 1552.507080, MSE: 1335.277710, IC: -0.023096, RIC: -0.067382, Precision@10: 0.153125
Epoch 30/100, running_loss: 77.799123, test_loss: 1594.214437, MSE: 1398.357056, IC: 0.027010, RIC: -0.003362, Precision@10: 0.166667
Epoch 31/100, running_loss: 75.468687, test_loss: 1284.357300, MSE: 1095.138550, IC: -0.028143, RIC: -0.036839, Precision@10: 0.159375
Epoch 32/100, running_loss: 76.444652, test_loss: 1534.072550, MSE: 1328.396118, IC: 0.005046, RIC: -0.025509, Precision@10: 0.147917
Epoch 33/100, running_loss: 84.131983, test_loss: 1353.475993, MSE: 1157.703125, IC: -0.020319, RIC: -0.033920, Precision@10: 0.159375
Epoch 34/100, running_loss: 75.299046, test_loss: 1536.828247, MSE: 1335.819458, IC: -0.021684, RIC: -0.039181, Precision@10: 0.167708
Epoch 35/100, running_loss: 80.091930, test_loss: 1557.564290, MSE: 1356.586548, IC: -0.018211, RIC: -0.048959, Precision@10: 0.146875
Epoch 36/100, running_loss: 92.551004, test_loss: 1443.268107, MSE: 1252.141479, IC: 0.001368, RIC: -0.038021, Precision@10: 0.166667
Epoch 37/100, running_loss: 86.885404, test_loss: 1674.618571, MSE: 1478.624023, IC: 0.007522, RIC: -0.020825, Precision@10: 0.168750
Epoch 38/100, running_loss: 79.758109, test_loss: 1553.882894, MSE: 1348.645020, IC: -0.002996, RIC: -0.019769, Precision@10: 0.171875
Epoch 39/100, running_loss: 74.318754, test_loss: 1632.835693, MSE: 1428.996704, IC: -0.003019, RIC: -0.029136, Precision@10: 0.183333
Epoch 40/100, running_loss: 76.630607, test_loss: 1753.599406, MSE: 1544.411133, IC: 0.009551, RIC: -0.018453, Precision@10: 0.159375
