train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 4595.299363, test_loss: 2304.368815, MSE: 2038.327637, IC: -0.011583, RIC: -0.029843, Precision@10: 0.120833
Epoch 2/100, running_loss: 1183.115906, test_loss: 1502.045044, MSE: 1302.365356, IC: 0.049172, RIC: 0.024819, Precision@10: 0.177083
Epoch 3/100, running_loss: 597.038666, test_loss: 1444.365804, MSE: 1237.858887, IC: -0.027083, RIC: -0.039947, Precision@10: 0.141667
Epoch 4/100, running_loss: 343.139394, test_loss: 1967.424316, MSE: 1743.757202, IC: 0.029087, RIC: 0.016602, Precision@10: 0.163542
Epoch 5/100, running_loss: 250.522800, test_loss: 1800.242472, MSE: 1586.393921, IC: 0.023930, RIC: 0.001307, Precision@10: 0.177083
Epoch 6/100, running_loss: 196.968175, test_loss: 1558.114827, MSE: 1369.958374, IC: 0.030035, RIC: 0.007309, Precision@10: 0.175000
Epoch 7/100, running_loss: 175.816951, test_loss: 1855.820882, MSE: 1636.870483, IC: -0.013308, RIC: -0.033897, Precision@10: 0.155208
Epoch 8/100, running_loss: 164.930028, test_loss: 1703.854736, MSE: 1500.787231, IC: 0.039426, RIC: -0.009666, Precision@10: 0.193750
Epoch 9/100, running_loss: 143.345816, test_loss: 1573.968831, MSE: 1385.638184, IC: 0.011361, RIC: -0.013391, Precision@10: 0.176042
Epoch 10/100, running_loss: 131.982803, test_loss: 1800.315348, MSE: 1593.759155, IC: 0.007406, RIC: -0.037427, Precision@10: 0.177083
Epoch 11/100, running_loss: 118.370601, test_loss: 2063.430705, MSE: 1849.013306, IC: 0.014787, RIC: -0.026682, Precision@10: 0.182292
Epoch 12/100, running_loss: 112.008724, test_loss: 1677.088989, MSE: 1475.403931, IC: 0.015664, RIC: -0.011818, Precision@10: 0.157292
Epoch 13/100, running_loss: 111.423536, test_loss: 2152.513672, MSE: 1932.398071, IC: 0.036267, RIC: 0.011848, Precision@10: 0.184375
Epoch 14/100, running_loss: 105.132848, test_loss: 1935.559448, MSE: 1719.486694, IC: 0.015014, RIC: -0.001595, Precision@10: 0.180208
Epoch 15/100, running_loss: 98.208419, test_loss: 2141.459635, MSE: 1907.956421, IC: -0.021609, RIC: -0.055127, Precision@10: 0.158333
Epoch 16/100, running_loss: 98.785533, test_loss: 1881.638428, MSE: 1656.848267, IC: -0.016928, RIC: -0.062341, Precision@10: 0.167708
Epoch 17/100, running_loss: 95.357393, test_loss: 2047.517171, MSE: 1825.397461, IC: -0.016534, RIC: -0.031152, Precision@10: 0.156250
Epoch 18/100, running_loss: 85.135441, test_loss: 1987.652384, MSE: 1759.088379, IC: -0.012562, RIC: -0.046729, Precision@10: 0.177083
Epoch 19/100, running_loss: 81.215583, test_loss: 1680.502930, MSE: 1461.327515, IC: 0.007239, RIC: -0.022317, Precision@10: 0.185417
Epoch 20/100, running_loss: 74.540724, test_loss: 1741.004557, MSE: 1528.184570, IC: -0.006175, RIC: -0.020714, Precision@10: 0.166667
Epoch 21/100, running_loss: 81.138028, test_loss: 2005.670736, MSE: 1785.198608, IC: 0.036586, RIC: 0.005358, Precision@10: 0.171875
Epoch 22/100, running_loss: 81.224075, test_loss: 1847.044840, MSE: 1631.955688, IC: 0.001492, RIC: -0.009848, Precision@10: 0.173958
Epoch 23/100, running_loss: 76.770921, test_loss: 1978.215210, MSE: 1756.301270, IC: 0.004724, RIC: -0.013326, Precision@10: 0.179167
Epoch 24/100, running_loss: 71.198989, test_loss: 1646.976562, MSE: 1435.788086, IC: -0.008656, RIC: -0.032695, Precision@10: 0.165625
Epoch 25/100, running_loss: 71.054056, test_loss: 2140.910360, MSE: 1926.029663, IC: 0.015007, RIC: -0.012171, Precision@10: 0.172917
Epoch 26/100, running_loss: 69.511596, test_loss: 1888.978068, MSE: 1673.328735, IC: -0.018236, RIC: -0.046277, Precision@10: 0.154167
Epoch 27/100, running_loss: 74.266326, test_loss: 2629.489746, MSE: 2380.527100, IC: -0.008375, RIC: -0.023973, Precision@10: 0.152083
Epoch 28/100, running_loss: 75.676395, test_loss: 1982.639404, MSE: 1762.288086, IC: 0.004471, RIC: -0.016824, Precision@10: 0.170833
Epoch 29/100, running_loss: 70.323610, test_loss: 1881.776326, MSE: 1658.520874, IC: -0.033675, RIC: -0.054369, Precision@10: 0.147917
Epoch 30/100, running_loss: 65.838676, test_loss: 2052.714722, MSE: 1844.519043, IC: 0.025657, RIC: 0.001323, Precision@10: 0.175000
Epoch 31/100, running_loss: 58.898350, test_loss: 1876.436157, MSE: 1661.465210, IC: -0.010790, RIC: -0.043755, Precision@10: 0.179167
Epoch 32/100, running_loss: 60.649759, test_loss: 2125.657430, MSE: 1901.683716, IC: 0.015084, RIC: -0.011121, Precision@10: 0.182292
Epoch 33/100, running_loss: 60.293795, test_loss: 2224.479655, MSE: 2003.140015, IC: -0.000530, RIC: -0.023484, Precision@10: 0.182292
Epoch 34/100, running_loss: 61.937587, test_loss: 2005.293864, MSE: 1784.102051, IC: 0.020905, RIC: 0.007968, Precision@10: 0.154167
Epoch 35/100, running_loss: 59.611441, test_loss: 2061.088664, MSE: 1838.291626, IC: 0.001995, RIC: -0.008707, Precision@10: 0.162500
Epoch 36/100, running_loss: 63.970622, test_loss: 2167.834432, MSE: 1945.912476, IC: 0.007723, RIC: -0.016472, Precision@10: 0.166667
Epoch 37/100, running_loss: 59.955345, test_loss: 1953.218506, MSE: 1732.901367, IC: -0.013393, RIC: -0.030128, Precision@10: 0.164583
Epoch 38/100, running_loss: 57.318677, test_loss: 2080.330444, MSE: 1838.859375, IC: -0.039270, RIC: -0.052982, Precision@10: 0.150000
Epoch 39/100, running_loss: 56.377553, test_loss: 2212.981771, MSE: 1987.392456, IC: 0.001771, RIC: -0.012435, Precision@10: 0.157292
Epoch 40/100, running_loss: 57.927123, test_loss: 2208.798503, MSE: 1981.051758, IC: 0.015700, RIC: -0.008032, Precision@10: 0.158333
Epoch 41/100, running_loss: 63.547234, test_loss: 2254.020833, MSE: 2026.333008, IC: 0.005817, RIC: -0.021203, Precision@10: 0.178125
Epoch 42/100, running_loss: 64.822529, test_loss: 2220.720540, MSE: 1996.448853, IC: 0.002676, RIC: -0.007937, Precision@10: 0.157292
Epoch 43/100, running_loss: 59.081198, test_loss: 2014.366211, MSE: 1785.520996, IC: -0.029834, RIC: -0.053594, Precision@10: 0.150000
Epoch 44/100, running_loss: 56.910499, test_loss: 2007.882243, MSE: 1794.276978, IC: 0.023747, RIC: -0.003109, Precision@10: 0.177083
Epoch 45/100, running_loss: 54.868377, test_loss: 2558.061117, MSE: 2325.540039, IC: 0.039816, RIC: 0.001656, Precision@10: 0.191667
Epoch 46/100, running_loss: 59.845811, test_loss: 2677.925944, MSE: 2433.073975, IC: -0.009149, RIC: -0.029032, Precision@10: 0.138542
Epoch 47/100, running_loss: 69.770639, test_loss: 2424.519694, MSE: 2178.597900, IC: 0.013189, RIC: -0.017729, Precision@10: 0.170833
Epoch 48/100, running_loss: 76.145069, test_loss: 2227.675293, MSE: 2003.803589, IC: 0.021925, RIC: -0.000777, Precision@10: 0.181250
Epoch 49/100, running_loss: 66.388558, test_loss: 2212.930135, MSE: 1988.723633, IC: -0.004447, RIC: -0.040961, Precision@10: 0.161458
Epoch 50/100, running_loss: 56.069352, test_loss: 2077.544759, MSE: 1864.611206, IC: 0.031857, RIC: 0.011445, Precision@10: 0.181250
Epoch 51/100, running_loss: 51.212663, test_loss: 2369.609538, MSE: 2139.059570, IC: 0.022106, RIC: -0.013481, Precision@10: 0.187500
Epoch 52/100, running_loss: 49.503030, test_loss: 2638.746663, MSE: 2385.995361, IC: -0.022286, RIC: -0.060872, Precision@10: 0.151042
Epoch 53/100, running_loss: 56.796130, test_loss: 2391.791341, MSE: 2137.909912, IC: -0.027947, RIC: -0.060817, Precision@10: 0.158333
Epoch 54/100, running_loss: 52.199010, test_loss: 2243.109375, MSE: 2022.228882, IC: 0.015476, RIC: -0.009698, Precision@10: 0.170833
Epoch 55/100, running_loss: 47.193994, test_loss: 2233.000000, MSE: 1994.588257, IC: -0.028275, RIC: -0.052898, Precision@10: 0.143750
Epoch 56/100, running_loss: 50.398088, test_loss: 2348.289551, MSE: 2105.475098, IC: -0.031391, RIC: -0.047847, Precision@10: 0.156250
Epoch 57/100, running_loss: 45.950621, test_loss: 2102.630208, MSE: 1881.655273, IC: -0.002561, RIC: -0.017478, Precision@10: 0.161458
Epoch 58/100, running_loss: 45.576681, test_loss: 2044.781453, MSE: 1827.791626, IC: 0.021979, RIC: -0.016311, Precision@10: 0.169792
Epoch 59/100, running_loss: 42.695266, test_loss: 2365.979980, MSE: 2149.199463, IC: 0.027378, RIC: 0.014843, Precision@10: 0.173958
Epoch 60/100, running_loss: 45.076071, test_loss: 2578.982178, MSE: 2328.702393, IC: -0.002023, RIC: -0.020727, Precision@10: 0.161458
Epoch 61/100, running_loss: 55.585616, test_loss: 2269.491130, MSE: 2048.975586, IC: 0.004566, RIC: -0.024129, Precision@10: 0.170833
Epoch 62/100, running_loss: 49.743824, test_loss: 2427.142415, MSE: 2188.448486, IC: 0.002167, RIC: -0.028764, Precision@10: 0.161458
Epoch 63/100, running_loss: 50.559432, test_loss: 2132.310994, MSE: 1906.285156, IC: 0.027831, RIC: 0.004594, Precision@10: 0.179167
Epoch 64/100, running_loss: 46.361563, test_loss: 2338.759115, MSE: 2096.052002, IC: -0.033142, RIC: -0.055302, Precision@10: 0.145833
Epoch 65/100, running_loss: 47.734780, test_loss: 2429.771077, MSE: 2192.894287, IC: 0.019550, RIC: -0.015754, Precision@10: 0.172917
Epoch 66/100, running_loss: 51.982502, test_loss: 1683.140584, MSE: 1486.451294, IC: 0.030982, RIC: -0.008221, Precision@10: 0.178125
Epoch 67/100, running_loss: 67.644054, test_loss: 2152.705160, MSE: 1937.573853, IC: -0.010647, RIC: -0.056847, Precision@10: 0.162500
Epoch 68/100, running_loss: 51.933687, test_loss: 2156.874349, MSE: 1928.852661, IC: -0.017724, RIC: -0.050017, Precision@10: 0.157292
Epoch 69/100, running_loss: 48.923329, test_loss: 2025.061076, MSE: 1805.132690, IC: -0.014150, RIC: -0.057153, Precision@10: 0.141667
Epoch 70/100, running_loss: 53.883394, test_loss: 1963.766683, MSE: 1757.394165, IC: 0.017844, RIC: -0.011647, Precision@10: 0.169792
Epoch 71/100, running_loss: 50.237868, test_loss: 2268.911702, MSE: 2043.408203, IC: 0.004758, RIC: -0.008553, Precision@10: 0.157292
Epoch 72/100, running_loss: 47.932837, test_loss: 2389.924398, MSE: 2160.093506, IC: -0.000757, RIC: -0.027428, Precision@10: 0.157292
Epoch 73/100, running_loss: 58.084198, test_loss: 2166.678385, MSE: 1956.552856, IC: 0.034802, RIC: 0.003361, Precision@10: 0.181250
Epoch 74/100, running_loss: 62.129347, test_loss: 2211.235596, MSE: 1992.239136, IC: -0.015631, RIC: -0.038401, Precision@10: 0.158333
Epoch 75/100, running_loss: 50.410041, test_loss: 2325.795654, MSE: 2102.688232, IC: 0.009488, RIC: -0.014082, Precision@10: 0.172917
Epoch 76/100, running_loss: 45.571256, test_loss: 2265.023519, MSE: 2040.073608, IC: 0.021880, RIC: -0.003682, Precision@10: 0.169792
Epoch 77/100, running_loss: 43.850004, test_loss: 2309.831787, MSE: 2079.345459, IC: 0.024016, RIC: -0.002968, Precision@10: 0.186458
Epoch 78/100, running_loss: 42.687904, test_loss: 2305.795898, MSE: 2081.550293, IC: 0.015988, RIC: -0.019742, Precision@10: 0.167708
Epoch 79/100, running_loss: 40.505084, test_loss: 2330.413493, MSE: 2091.031006, IC: 0.010563, RIC: -0.010315, Precision@10: 0.165625
Epoch 80/100, running_loss: 40.693070, test_loss: 2344.067139, MSE: 2115.246338, IC: 0.003281, RIC: -0.010502, Precision@10: 0.150000
Epoch 81/100, running_loss: 43.595101, test_loss: 2017.316488, MSE: 1791.160767, IC: -0.017458, RIC: -0.049218, Precision@10: 0.155208
Epoch 82/100, running_loss: 43.650784, test_loss: 2322.769694, MSE: 2072.500244, IC: -0.039585, RIC: -0.065909, Precision@10: 0.138542
Epoch 83/100, running_loss: 52.746487, test_loss: 2138.063354, MSE: 1909.473267, IC: -0.001006, RIC: -0.026388, Precision@10: 0.153125
Epoch 84/100, running_loss: 51.540280, test_loss: 1900.634237, MSE: 1680.395508, IC: -0.017591, RIC: -0.043549, Precision@10: 0.146875
Epoch 85/100, running_loss: 60.744368, test_loss: 2208.096558, MSE: 1983.386719, IC: -0.013354, RIC: -0.044002, Precision@10: 0.165625
Epoch 86/100, running_loss: 50.904276, test_loss: 2670.563314, MSE: 2432.065186, IC: 0.019950, RIC: -0.009218, Precision@10: 0.163542
Epoch 87/100, running_loss: 50.746447, test_loss: 2412.557292, MSE: 2165.983154, IC: 0.009859, RIC: -0.018879, Precision@10: 0.161458
Epoch 88/100, running_loss: 49.176722, test_loss: 2067.027995, MSE: 1841.179810, IC: 0.014978, RIC: -0.022391, Precision@10: 0.173958
Epoch 89/100, running_loss: 45.451953, test_loss: 2341.348470, MSE: 2105.656738, IC: 0.002796, RIC: -0.034574, Precision@10: 0.150000
Epoch 90/100, running_loss: 45.839428, test_loss: 2426.874674, MSE: 2198.756836, IC: -0.004877, RIC: -0.032313, Precision@10: 0.170833
Epoch 91/100, running_loss: 44.041418, test_loss: 2170.194906, MSE: 1945.678101, IC: 0.009199, RIC: -0.023235, Precision@10: 0.169792
Epoch 92/100, running_loss: 46.486430, test_loss: 2264.195312, MSE: 2037.370483, IC: -0.004723, RIC: -0.037793, Precision@10: 0.162500
Epoch 93/100, running_loss: 45.756924, test_loss: 2578.597412, MSE: 2331.412109, IC: -0.009463, RIC: -0.040995, Precision@10: 0.164583
Epoch 94/100, running_loss: 46.876013, test_loss: 2541.388428, MSE: 2301.945312, IC: -0.009841, RIC: -0.043810, Precision@10: 0.147917
Epoch 95/100, running_loss: 58.177434, test_loss: 2063.563883, MSE: 1830.206665, IC: 0.007332, RIC: -0.003471, Precision@10: 0.177083
Epoch 96/100, running_loss: 50.507296, test_loss: 2581.544108, MSE: 2321.686768, IC: -0.004213, RIC: -0.039205, Precision@10: 0.164583
Epoch 97/100, running_loss: 47.532829, test_loss: 1959.643107, MSE: 1744.499023, IC: -0.027251, RIC: -0.047220, Precision@10: 0.156250
Epoch 98/100, running_loss: 48.556380, test_loss: 2381.512695, MSE: 2143.606201, IC: 0.001978, RIC: -0.033246, Precision@10: 0.166667
Epoch 99/100, running_loss: 46.807891, test_loss: 2215.083984, MSE: 1990.997559, IC: 0.009999, RIC: -0.013688, Precision@10: 0.156250
Epoch 100/100, running_loss: 45.373197, test_loss: 2220.935547, MSE: 1994.637329, IC: -0.004290, RIC: -0.029954, Precision@10: 0.160417
