train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 4006.334949, test_loss: 1911.859945, MSE: 1673.549194, IC: 0.009874, RIC: -0.002671, Precision@10: 0.144792
Epoch 2/100, running_loss: 987.387198, test_loss: 1415.098877, MSE: 1225.000244, IC: 0.015962, RIC: -0.007186, Precision@10: 0.175000
Epoch 3/100, running_loss: 555.351634, test_loss: 1683.325358, MSE: 1465.891724, IC: -0.007093, RIC: -0.025656, Precision@10: 0.148958
Epoch 4/100, running_loss: 351.120832, test_loss: 1372.998128, MSE: 1189.245728, IC: 0.025888, RIC: 0.002142, Precision@10: 0.180208
Epoch 5/100, running_loss: 267.141756, test_loss: 1288.844767, MSE: 1104.815552, IC: 0.013435, RIC: -0.009845, Precision@10: 0.178125
Epoch 6/100, running_loss: 245.623436, test_loss: 1381.081991, MSE: 1188.936646, IC: -0.026666, RIC: -0.052217, Precision@10: 0.157292
Epoch 7/100, running_loss: 224.960206, test_loss: 1499.331868, MSE: 1302.105957, IC: 0.003971, RIC: -0.009675, Precision@10: 0.179167
Epoch 8/100, running_loss: 210.055143, test_loss: 1371.394043, MSE: 1190.068970, IC: 0.011549, RIC: -0.004512, Precision@10: 0.185417
Epoch 9/100, running_loss: 174.373504, test_loss: 1373.882080, MSE: 1180.567505, IC: -0.017846, RIC: -0.027167, Precision@10: 0.145833
Epoch 10/100, running_loss: 149.334128, test_loss: 1488.346029, MSE: 1290.333008, IC: -0.013445, RIC: -0.040963, Precision@10: 0.164583
Epoch 11/100, running_loss: 140.313362, test_loss: 1730.731608, MSE: 1497.782104, IC: -0.057356, RIC: -0.066920, Precision@10: 0.133333
Epoch 12/100, running_loss: 133.568904, test_loss: 1964.032633, MSE: 1733.383423, IC: -0.009050, RIC: -0.026677, Precision@10: 0.169792
Epoch 13/100, running_loss: 132.497716, test_loss: 1927.959269, MSE: 1703.354126, IC: -0.007836, RIC: -0.023528, Precision@10: 0.166667
Epoch 14/100, running_loss: 130.080048, test_loss: 1953.975138, MSE: 1720.804077, IC: -0.018821, RIC: -0.060956, Precision@10: 0.168750
