train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 4974.984631, test_loss: 2485.001221, MSE: 2194.176514, IC: -0.010508, RIC: -0.024692, Precision@10: 0.115625
Epoch 2/100, running_loss: 1336.052961, test_loss: 1659.666829, MSE: 1443.786743, IC: 0.045991, RIC: 0.022055, Precision@10: 0.186458
Epoch 3/100, running_loss: 679.617780, test_loss: 1331.635457, MSE: 1131.986694, IC: -0.024900, RIC: -0.037868, Precision@10: 0.153125
Epoch 4/100, running_loss: 392.442317, test_loss: 1975.558960, MSE: 1749.302734, IC: 0.028339, RIC: 0.020611, Precision@10: 0.163542
Epoch 5/100, running_loss: 259.958886, test_loss: 1608.971069, MSE: 1411.295532, IC: 0.025297, RIC: 0.006350, Precision@10: 0.171875
Epoch 6/100, running_loss: 211.243806, test_loss: 2034.398193, MSE: 1825.066040, IC: 0.029910, RIC: 0.006222, Precision@10: 0.175000
Epoch 7/100, running_loss: 183.634869, test_loss: 1748.076660, MSE: 1539.769897, IC: -0.011563, RIC: -0.033881, Precision@10: 0.147917
Epoch 8/100, running_loss: 166.748094, test_loss: 1658.208781, MSE: 1455.225464, IC: 0.036656, RIC: -0.011586, Precision@10: 0.193750
Epoch 9/100, running_loss: 145.529313, test_loss: 1861.391602, MSE: 1657.426147, IC: 0.013525, RIC: -0.006955, Precision@10: 0.171875
Epoch 10/100, running_loss: 135.718191, test_loss: 1900.531250, MSE: 1687.183105, IC: 0.001815, RIC: -0.040116, Precision@10: 0.163542
Epoch 11/100, running_loss: 125.252646, test_loss: 2244.670492, MSE: 2014.958862, IC: 0.007047, RIC: -0.034633, Precision@10: 0.163542
Epoch 12/100, running_loss: 122.849835, test_loss: 2143.634359, MSE: 1914.042969, IC: 0.011215, RIC: -0.010995, Precision@10: 0.157292
Epoch 13/100, running_loss: 111.512844, test_loss: 2281.871379, MSE: 2054.278320, IC: 0.029458, RIC: 0.000429, Precision@10: 0.176042
Epoch 14/100, running_loss: 101.296174, test_loss: 1867.286702, MSE: 1655.482544, IC: 0.016390, RIC: -0.002703, Precision@10: 0.164583
Epoch 15/100, running_loss: 105.181605, test_loss: 2451.842936, MSE: 2194.339600, IC: -0.025904, RIC: -0.054366, Precision@10: 0.147917
Epoch 16/100, running_loss: 94.489914, test_loss: 2354.268717, MSE: 2102.221680, IC: -0.013546, RIC: -0.057738, Precision@10: 0.173958
Epoch 17/100, running_loss: 99.644136, test_loss: 2767.430176, MSE: 2509.495361, IC: -0.019291, RIC: -0.031749, Precision@10: 0.153125
Epoch 18/100, running_loss: 97.436011, test_loss: 2412.285807, MSE: 2160.193604, IC: -0.014832, RIC: -0.039572, Precision@10: 0.156250
Epoch 19/100, running_loss: 86.444908, test_loss: 2185.666911, MSE: 1937.329102, IC: 0.004262, RIC: -0.018593, Precision@10: 0.167708
Epoch 20/100, running_loss: 83.846742, test_loss: 2736.104248, MSE: 2463.284180, IC: -0.013504, RIC: -0.027537, Precision@10: 0.158333
Epoch 21/100, running_loss: 85.617995, test_loss: 2451.665527, MSE: 2205.051025, IC: 0.036548, RIC: 0.006753, Precision@10: 0.173958
Epoch 22/100, running_loss: 88.572936, test_loss: 1987.694417, MSE: 1763.316895, IC: -0.001614, RIC: -0.012949, Precision@10: 0.167708
Epoch 23/100, running_loss: 80.371893, test_loss: 2314.773275, MSE: 2074.078613, IC: 0.015546, RIC: -0.000572, Precision@10: 0.179167
Epoch 24/100, running_loss: 73.414613, test_loss: 2098.837646, MSE: 1854.129028, IC: -0.008920, RIC: -0.029588, Precision@10: 0.164583
Epoch 25/100, running_loss: 70.834420, test_loss: 2145.563070, MSE: 1928.157837, IC: 0.021308, RIC: -0.002819, Precision@10: 0.182292
Epoch 26/100, running_loss: 73.141403, test_loss: 2217.345703, MSE: 1981.638062, IC: -0.016269, RIC: -0.042940, Precision@10: 0.159375
Epoch 27/100, running_loss: 67.965281, test_loss: 2636.784587, MSE: 2381.832275, IC: -0.008010, RIC: -0.022311, Precision@10: 0.150000
Epoch 28/100, running_loss: 66.395091, test_loss: 2477.516927, MSE: 2225.675049, IC: 0.005912, RIC: -0.010663, Precision@10: 0.172917
Epoch 29/100, running_loss: 65.038249, test_loss: 2234.415853, MSE: 1994.051147, IC: -0.027704, RIC: -0.046555, Precision@10: 0.146875
Epoch 30/100, running_loss: 63.292128, test_loss: 2503.974447, MSE: 2270.195801, IC: 0.025834, RIC: -0.001670, Precision@10: 0.187500
Epoch 31/100, running_loss: 58.263655, test_loss: 2335.750895, MSE: 2088.149658, IC: -0.012273, RIC: -0.038503, Precision@10: 0.166667
Epoch 32/100, running_loss: 55.608663, test_loss: 2547.003092, MSE: 2297.619385, IC: 0.012685, RIC: -0.010165, Precision@10: 0.178125
Epoch 33/100, running_loss: 55.883597, test_loss: 2269.102946, MSE: 2037.666382, IC: -0.001412, RIC: -0.018875, Precision@10: 0.171875
Epoch 34/100, running_loss: 60.125099, test_loss: 2516.752767, MSE: 2257.951904, IC: 0.017501, RIC: 0.004320, Precision@10: 0.164583
Epoch 35/100, running_loss: 56.588361, test_loss: 2470.625651, MSE: 2218.162354, IC: -0.000754, RIC: -0.008077, Precision@10: 0.161458
Epoch 36/100, running_loss: 70.063681, test_loss: 2787.909180, MSE: 2525.299805, IC: 0.005876, RIC: -0.022740, Precision@10: 0.159375
Epoch 37/100, running_loss: 61.712658, test_loss: 2257.858805, MSE: 2018.776245, IC: -0.009436, RIC: -0.026632, Precision@10: 0.168750
Epoch 38/100, running_loss: 60.302317, test_loss: 2464.373372, MSE: 2198.394531, IC: -0.035709, RIC: -0.049963, Precision@10: 0.151042
Epoch 39/100, running_loss: 57.986920, test_loss: 2207.142497, MSE: 1974.352539, IC: 0.002674, RIC: -0.006451, Precision@10: 0.168750
Epoch 40/100, running_loss: 53.577122, test_loss: 2181.732666, MSE: 1939.176147, IC: 0.013742, RIC: -0.007503, Precision@10: 0.162500
Epoch 41/100, running_loss: 54.928115, test_loss: 2606.069173, MSE: 2359.069580, IC: 0.008971, RIC: -0.016070, Precision@10: 0.192708
Epoch 42/100, running_loss: 50.656070, test_loss: 2573.605387, MSE: 2323.546631, IC: 0.006471, RIC: -0.003845, Precision@10: 0.165625
Epoch 43/100, running_loss: 53.957754, test_loss: 2452.288411, MSE: 2192.547852, IC: -0.033626, RIC: -0.059050, Precision@10: 0.140625
Epoch 44/100, running_loss: 52.700643, test_loss: 2320.593669, MSE: 2079.042480, IC: 0.025317, RIC: 0.007403, Precision@10: 0.171875
Epoch 45/100, running_loss: 52.501703, test_loss: 2611.068441, MSE: 2366.909912, IC: 0.043303, RIC: 0.012009, Precision@10: 0.191667
Epoch 46/100, running_loss: 48.659680, test_loss: 2420.524495, MSE: 2178.558350, IC: -0.008890, RIC: -0.025378, Precision@10: 0.151042
Epoch 47/100, running_loss: 49.671088, test_loss: 2701.162760, MSE: 2431.492432, IC: 0.008054, RIC: -0.018078, Precision@10: 0.165625
Epoch 48/100, running_loss: 56.316066, test_loss: 2876.161377, MSE: 2615.191895, IC: 0.021898, RIC: 0.001211, Precision@10: 0.177083
Epoch 49/100, running_loss: 65.211783, test_loss: 2480.506592, MSE: 2231.573975, IC: -0.007156, RIC: -0.046597, Precision@10: 0.172917
Epoch 50/100, running_loss: 65.776784, test_loss: 2239.891764, MSE: 2004.641724, IC: 0.025028, RIC: 0.005655, Precision@10: 0.175000
Epoch 51/100, running_loss: 60.859802, test_loss: 2762.331055, MSE: 2491.836182, IC: 0.017561, RIC: -0.018682, Precision@10: 0.188542
Epoch 52/100, running_loss: 71.081542, test_loss: 2748.779053, MSE: 2474.081787, IC: -0.024118, RIC: -0.057238, Precision@10: 0.138542
Epoch 53/100, running_loss: 53.534316, test_loss: 2645.593099, MSE: 2367.959961, IC: -0.026470, RIC: -0.058558, Precision@10: 0.156250
Epoch 54/100, running_loss: 49.315341, test_loss: 2382.045166, MSE: 2146.055420, IC: 0.015732, RIC: -0.009315, Precision@10: 0.171875
Epoch 55/100, running_loss: 47.256288, test_loss: 2513.385010, MSE: 2242.182861, IC: -0.037279, RIC: -0.056562, Precision@10: 0.142708
Epoch 56/100, running_loss: 47.954312, test_loss: 2464.951416, MSE: 2207.878174, IC: -0.030319, RIC: -0.045417, Precision@10: 0.161458
Epoch 57/100, running_loss: 46.071987, test_loss: 2563.427165, MSE: 2308.204834, IC: -0.003524, RIC: -0.020153, Precision@10: 0.154167
Epoch 58/100, running_loss: 44.018920, test_loss: 2642.454183, MSE: 2380.288086, IC: 0.015072, RIC: -0.018306, Precision@10: 0.177083
Epoch 59/100, running_loss: 40.833266, test_loss: 2441.066243, MSE: 2206.258545, IC: 0.023696, RIC: 0.009813, Precision@10: 0.172917
Epoch 60/100, running_loss: 41.284394, test_loss: 2497.029948, MSE: 2231.882080, IC: -0.006234, RIC: -0.029434, Precision@10: 0.153125
Epoch 61/100, running_loss: 44.931879, test_loss: 2272.032227, MSE: 2037.290039, IC: 0.007621, RIC: -0.018720, Precision@10: 0.182292
Epoch 62/100, running_loss: 46.485403, test_loss: 2405.427002, MSE: 2152.812988, IC: 0.005978, RIC: -0.027920, Precision@10: 0.164583
Epoch 63/100, running_loss: 46.228196, test_loss: 2284.110107, MSE: 2028.571899, IC: 0.017450, RIC: 0.000027, Precision@10: 0.173958
Epoch 64/100, running_loss: 42.204743, test_loss: 2393.980876, MSE: 2132.008057, IC: -0.039378, RIC: -0.061555, Precision@10: 0.152083
Epoch 65/100, running_loss: 41.114625, test_loss: 2660.713460, MSE: 2404.445312, IC: 0.024710, RIC: -0.007926, Precision@10: 0.176042
Epoch 66/100, running_loss: 43.197395, test_loss: 2193.450195, MSE: 1960.379272, IC: 0.035226, RIC: 0.000133, Precision@10: 0.201042
Epoch 67/100, running_loss: 50.443414, test_loss: 2100.018066, MSE: 1875.853149, IC: -0.011584, RIC: -0.052215, Precision@10: 0.161458
Epoch 68/100, running_loss: 52.834522, test_loss: 2280.326538, MSE: 2025.226074, IC: -0.022056, RIC: -0.053334, Precision@10: 0.159375
Epoch 69/100, running_loss: 47.820408, test_loss: 2440.173828, MSE: 2184.739258, IC: -0.023121, RIC: -0.059771, Precision@10: 0.145833
Epoch 70/100, running_loss: 45.490311, test_loss: 2277.354411, MSE: 2045.140991, IC: 0.021712, RIC: -0.007753, Precision@10: 0.176042
Epoch 71/100, running_loss: 47.629754, test_loss: 2166.804606, MSE: 1937.047485, IC: 0.009762, RIC: -0.002092, Precision@10: 0.153125
Epoch 72/100, running_loss: 41.782000, test_loss: 2571.493164, MSE: 2319.154541, IC: -0.001866, RIC: -0.030643, Precision@10: 0.162500
Epoch 73/100, running_loss: 42.218835, test_loss: 2299.369629, MSE: 2064.689697, IC: 0.031436, RIC: 0.004662, Precision@10: 0.186458
Epoch 74/100, running_loss: 52.415857, test_loss: 2646.594971, MSE: 2390.435791, IC: -0.016873, RIC: -0.043224, Precision@10: 0.169792
Epoch 75/100, running_loss: 47.802757, test_loss: 2473.368571, MSE: 2230.125244, IC: 0.004953, RIC: -0.016135, Precision@10: 0.172917
Epoch 76/100, running_loss: 46.294152, test_loss: 2863.457031, MSE: 2603.537842, IC: 0.020051, RIC: -0.007365, Precision@10: 0.176042
Epoch 77/100, running_loss: 45.642570, test_loss: 2191.479736, MSE: 1949.448242, IC: 0.023423, RIC: -0.001928, Precision@10: 0.189583
Epoch 78/100, running_loss: 43.855251, test_loss: 2493.015462, MSE: 2246.197510, IC: 0.006797, RIC: -0.023063, Precision@10: 0.173958
Epoch 79/100, running_loss: 40.907038, test_loss: 2424.120036, MSE: 2173.492920, IC: 0.018129, RIC: -0.001856, Precision@10: 0.170833
Epoch 80/100, running_loss: 39.629787, test_loss: 2672.793864, MSE: 2421.321533, IC: 0.002671, RIC: -0.011880, Precision@10: 0.160417
Epoch 81/100, running_loss: 42.375874, test_loss: 2148.740763, MSE: 1895.795532, IC: -0.016287, RIC: -0.048638, Precision@10: 0.163542
Epoch 82/100, running_loss: 42.530149, test_loss: 2408.906657, MSE: 2137.892822, IC: -0.036005, RIC: -0.060309, Precision@10: 0.151042
Epoch 83/100, running_loss: 43.221822, test_loss: 2619.714437, MSE: 2342.659180, IC: -0.009044, RIC: -0.029291, Precision@10: 0.163542
Epoch 84/100, running_loss: 43.746966, test_loss: 2619.622965, MSE: 2343.514893, IC: -0.026888, RIC: -0.048156, Precision@10: 0.150000
Epoch 85/100, running_loss: 48.316895, test_loss: 2041.751424, MSE: 1814.103882, IC: -0.014802, RIC: -0.044440, Precision@10: 0.167708
Epoch 86/100, running_loss: 50.370533, test_loss: 2519.200521, MSE: 2269.644287, IC: 0.014986, RIC: -0.009432, Precision@10: 0.167708
Epoch 87/100, running_loss: 45.466363, test_loss: 2093.394653, MSE: 1851.516602, IC: 0.016413, RIC: -0.011804, Precision@10: 0.175000
Epoch 88/100, running_loss: 41.325143, test_loss: 2344.845703, MSE: 2083.933594, IC: 0.014050, RIC: -0.028770, Precision@10: 0.176042
