train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 11895.826835, test_loss: 3828.972331, MSE: 3410.819580, IC: 0.013391, RIC: 0.013694, Precision@10: 0.152083
Best model saved at epoch 1
Epoch 2/100, running_loss: 2460.923549, test_loss: 2503.269368, MSE: 2153.293213, IC: 0.033785, RIC: 0.028109, Precision@10: 0.129167
Epoch 3/100, running_loss: 1335.849217, test_loss: 2042.591146, MSE: 1753.839478, IC: 0.023366, RIC: 0.011259, Precision@10: 0.159375
Best model saved at epoch 3
Epoch 4/100, running_loss: 925.584336, test_loss: 1614.890381, MSE: 1330.897217, IC: 0.044845, RIC: 0.035983, Precision@10: 0.167708
Best model saved at epoch 4
Epoch 5/100, running_loss: 757.965841, test_loss: 1410.746989, MSE: 1145.909302, IC: 0.026789, RIC: 0.007537, Precision@10: 0.157292
Epoch 6/100, running_loss: 637.757336, test_loss: 1398.185994, MSE: 1145.092651, IC: 0.035056, RIC: 0.009086, Precision@10: 0.160417
Epoch 7/100, running_loss: 587.110070, test_loss: 1167.600220, MSE: 889.633362, IC: 0.048274, RIC: 0.020497, Precision@10: 0.202083
Best model saved at epoch 7
Epoch 8/100, running_loss: 571.019759, test_loss: 1127.268758, MSE: 870.999695, IC: 0.007204, RIC: -0.014174, Precision@10: 0.156250
Epoch 9/100, running_loss: 479.739945, test_loss: 1152.069865, MSE: 905.376648, IC: 0.007056, RIC: -0.006380, Precision@10: 0.135417
Epoch 10/100, running_loss: 459.059254, test_loss: 1074.010498, MSE: 838.636963, IC: 0.018485, RIC: -0.006640, Precision@10: 0.143750
Epoch 11/100, running_loss: 429.551107, test_loss: 1375.074707, MSE: 1116.959351, IC: 0.036918, RIC: 0.033300, Precision@10: 0.129167
Epoch 12/100, running_loss: 403.077509, test_loss: 998.115560, MSE: 729.610168, IC: 0.023892, RIC: -0.010710, Precision@10: 0.162500
Epoch 13/100, running_loss: 424.555147, test_loss: 1066.054810, MSE: 831.290466, IC: 0.014980, RIC: -0.002254, Precision@10: 0.130208
Epoch 14/100, running_loss: 374.324262, test_loss: 979.364705, MSE: 743.354248, IC: 0.012003, RIC: -0.001799, Precision@10: 0.131250
Epoch 15/100, running_loss: 386.502478, test_loss: 1389.947062, MSE: 1125.828735, IC: 0.028030, RIC: 0.014455, Precision@10: 0.122917
Epoch 16/100, running_loss: 382.809498, test_loss: 1357.866577, MSE: 1015.297668, IC: 0.005608, RIC: -0.018320, Precision@10: 0.123958
Epoch 17/100, running_loss: 383.650553, test_loss: 1292.718506, MSE: 986.639893, IC: -0.006390, RIC: -0.034585, Precision@10: 0.140625
Epoch 18/100, running_loss: 364.848698, test_loss: 1203.371338, MSE: 932.553406, IC: -0.015092, RIC: -0.035469, Precision@10: 0.119792
Epoch 19/100, running_loss: 333.746178, test_loss: 1121.643026, MSE: 853.888489, IC: -0.017882, RIC: -0.038571, Precision@10: 0.145833
Epoch 20/100, running_loss: 301.111299, test_loss: 1113.730448, MSE: 827.056213, IC: -0.020799, RIC: -0.043856, Precision@10: 0.126042
Epoch 21/100, running_loss: 291.362790, test_loss: 1079.967224, MSE: 800.044250, IC: 0.019993, RIC: -0.023905, Precision@10: 0.158333
Epoch 22/100, running_loss: 283.782434, test_loss: 1302.189697, MSE: 982.698547, IC: -0.012287, RIC: -0.042807, Precision@10: 0.125000
Epoch 23/100, running_loss: 287.208100, test_loss: 1042.520264, MSE: 769.207581, IC: 0.009263, RIC: -0.028018, Precision@10: 0.160417
Epoch 24/100, running_loss: 312.133920, test_loss: 1431.769409, MSE: 1073.613403, IC: -0.033110, RIC: -0.050344, Precision@10: 0.109375
