train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 11663.787877, test_loss: 2515.372314, MSE: 2079.748047, IC: 0.024447, RIC: 0.005363, Precision@10: 0.142708
Best model saved at epoch 1
Epoch 2/100, running_loss: 1612.481271, test_loss: 2041.112142, MSE: 1790.778442, IC: 0.043057, RIC: 0.037900, Precision@10: 0.152083
Best model saved at epoch 2
Epoch 3/100, running_loss: 912.483035, test_loss: 1394.043050, MSE: 1152.697876, IC: 0.042397, RIC: 0.010908, Precision@10: 0.161458
Best model saved at epoch 3
Epoch 4/100, running_loss: 708.764648, test_loss: 1361.367513, MSE: 1132.197632, IC: 0.035397, RIC: 0.025137, Precision@10: 0.144792
Epoch 5/100, running_loss: 581.695760, test_loss: 1484.075317, MSE: 1218.378418, IC: 0.024594, RIC: 0.021974, Precision@10: 0.137500
Epoch 6/100, running_loss: 494.606110, test_loss: 1250.756795, MSE: 1017.324768, IC: 0.010890, RIC: -0.015427, Precision@10: 0.160417
Epoch 7/100, running_loss: 484.862699, test_loss: 1550.071859, MSE: 1260.079224, IC: 0.001921, RIC: -0.020831, Precision@10: 0.115625
Epoch 8/100, running_loss: 441.144198, test_loss: 1420.395549, MSE: 1153.333496, IC: 0.015132, RIC: 0.006849, Precision@10: 0.110417
Epoch 9/100, running_loss: 420.675730, test_loss: 1328.076172, MSE: 1079.977417, IC: 0.024189, RIC: 0.018142, Precision@10: 0.131250
Epoch 10/100, running_loss: 383.107585, test_loss: 1391.633219, MSE: 1148.060669, IC: 0.039800, RIC: 0.027221, Precision@10: 0.110417
Epoch 11/100, running_loss: 344.510598, test_loss: 1491.858683, MSE: 1238.819946, IC: 0.041819, RIC: 0.045053, Precision@10: 0.128125
Epoch 12/100, running_loss: 326.182994, test_loss: 1587.777100, MSE: 1300.006958, IC: 0.041856, RIC: 0.027750, Precision@10: 0.098958
Epoch 13/100, running_loss: 313.952602, test_loss: 1425.351074, MSE: 1165.579102, IC: 0.018287, RIC: 0.005944, Precision@10: 0.109375
Epoch 14/100, running_loss: 319.947805, test_loss: 1528.223348, MSE: 1230.639282, IC: 0.038022, RIC: 0.054620, Precision@10: 0.111458
Epoch 15/100, running_loss: 311.319722, test_loss: 1195.142212, MSE: 969.836670, IC: 0.067386, RIC: 0.059601, Precision@10: 0.141667
Epoch 16/100, running_loss: 313.267668, test_loss: 1637.722412, MSE: 1309.985840, IC: 0.030243, RIC: 0.026099, Precision@10: 0.122917
Epoch 17/100, running_loss: 305.337149, test_loss: 1890.328369, MSE: 1497.921875, IC: -0.017316, RIC: -0.034094, Precision@10: 0.097917
Epoch 18/100, running_loss: 298.293505, test_loss: 1401.560791, MSE: 1144.041504, IC: 0.018378, RIC: -0.000409, Precision@10: 0.123958
Epoch 19/100, running_loss: 287.484825, test_loss: 1539.884603, MSE: 1247.584106, IC: 0.017843, RIC: 0.004307, Precision@10: 0.117708
Epoch 20/100, running_loss: 275.481203, test_loss: 1316.864014, MSE: 1054.617798, IC: 0.018985, RIC: -0.004328, Precision@10: 0.123958
Epoch 21/100, running_loss: 297.265279, test_loss: 1468.915649, MSE: 1176.244141, IC: 0.023088, RIC: -0.001153, Precision@10: 0.128125
Epoch 22/100, running_loss: 285.365205, test_loss: 1323.686157, MSE: 1073.168457, IC: 0.031239, RIC: 0.007059, Precision@10: 0.130208
Epoch 23/100, running_loss: 400.930218, test_loss: 1570.803263, MSE: 1220.572388, IC: -0.023333, RIC: -0.031783, Precision@10: 0.133333
Epoch 24/100, running_loss: 306.225137, test_loss: 1483.614054, MSE: 1172.224365, IC: -0.008680, RIC: -0.018641, Precision@10: 0.105208
Epoch 25/100, running_loss: 273.557289, test_loss: 1718.422770, MSE: 1381.328491, IC: 0.031972, RIC: 0.018317, Precision@10: 0.104167
Epoch 26/100, running_loss: 355.321051, test_loss: 1817.725138, MSE: 1458.469360, IC: -0.001446, RIC: -0.023429, Precision@10: 0.108333
Epoch 27/100, running_loss: 305.221181, test_loss: 1048.205526, MSE: 803.688416, IC: 0.041425, RIC: 0.020635, Precision@10: 0.167708
Best model saved at epoch 27
Epoch 28/100, running_loss: 276.087575, test_loss: 1434.276164, MSE: 1143.665649, IC: 0.010287, RIC: -0.001105, Precision@10: 0.123958
Epoch 29/100, running_loss: 274.235325, test_loss: 1495.898722, MSE: 1193.929688, IC: 0.000789, RIC: -0.018944, Precision@10: 0.119792
Epoch 30/100, running_loss: 239.652920, test_loss: 1314.651571, MSE: 1034.894531, IC: 0.022652, RIC: -0.023273, Precision@10: 0.144792
Epoch 31/100, running_loss: 230.327286, test_loss: 1441.950399, MSE: 1130.249390, IC: 0.008673, RIC: 0.004520, Precision@10: 0.109375
Epoch 32/100, running_loss: 223.373214, test_loss: 1466.879639, MSE: 1152.006226, IC: 0.017272, RIC: 0.002002, Precision@10: 0.101042
Epoch 33/100, running_loss: 258.595138, test_loss: 1321.417806, MSE: 1030.875000, IC: 0.006547, RIC: -0.010844, Precision@10: 0.141667
Epoch 34/100, running_loss: 235.852003, test_loss: 1228.227702, MSE: 947.921387, IC: 0.007160, RIC: -0.007966, Precision@10: 0.130208
Epoch 35/100, running_loss: 262.832916, test_loss: 1102.708069, MSE: 857.736145, IC: 0.033969, RIC: -0.006180, Precision@10: 0.163542
Epoch 36/100, running_loss: 270.621264, test_loss: 1260.654948, MSE: 942.152527, IC: -0.019889, RIC: -0.034079, Precision@10: 0.127083
Epoch 37/100, running_loss: 255.512597, test_loss: 1104.044983, MSE: 859.823303, IC: 0.006541, RIC: -0.016734, Precision@10: 0.143750
Epoch 38/100, running_loss: 253.515416, test_loss: 1277.771810, MSE: 982.745667, IC: -0.002179, RIC: -0.015954, Precision@10: 0.134375
Epoch 39/100, running_loss: 247.288677, test_loss: 1157.141134, MSE: 878.634460, IC: 0.011439, RIC: -0.003619, Precision@10: 0.125000
Epoch 40/100, running_loss: 251.772797, test_loss: 1055.216838, MSE: 798.470520, IC: 0.013807, RIC: -0.007391, Precision@10: 0.164583
Epoch 41/100, running_loss: 261.416637, test_loss: 1130.904378, MSE: 852.568359, IC: -0.017079, RIC: -0.036684, Precision@10: 0.132292
Epoch 42/100, running_loss: 230.612610, test_loss: 1067.019165, MSE: 813.367188, IC: 0.018862, RIC: -0.018130, Precision@10: 0.163542
Epoch 43/100, running_loss: 247.899697, test_loss: 1220.748250, MSE: 947.499207, IC: -0.014032, RIC: -0.024833, Precision@10: 0.150000
Epoch 44/100, running_loss: 234.537944, test_loss: 1056.906108, MSE: 800.618958, IC: 0.033823, RIC: -0.003038, Precision@10: 0.178125
Best model saved at epoch 44
Epoch 45/100, running_loss: 235.175650, test_loss: 1383.596680, MSE: 1086.347046, IC: -0.007944, RIC: -0.033741, Precision@10: 0.116667
Epoch 46/100, running_loss: 238.622449, test_loss: 1019.320150, MSE: 755.567810, IC: 0.028090, RIC: -0.007951, Precision@10: 0.169792
Epoch 47/100, running_loss: 217.966643, test_loss: 1455.660685, MSE: 1111.437988, IC: 0.017365, RIC: -0.026902, Precision@10: 0.190625
Best model saved at epoch 47
Epoch 48/100, running_loss: 331.601127, test_loss: 1309.167114, MSE: 987.223083, IC: -0.028031, RIC: -0.060550, Precision@10: 0.138542
Epoch 49/100, running_loss: 254.257951, test_loss: 1206.088664, MSE: 936.302307, IC: 0.005783, RIC: -0.025618, Precision@10: 0.157292
Epoch 50/100, running_loss: 225.966709, test_loss: 1225.795166, MSE: 974.057129, IC: 0.017563, RIC: -0.009962, Precision@10: 0.129167
Epoch 51/100, running_loss: 232.633044, test_loss: 1329.079549, MSE: 1029.105469, IC: 0.014673, RIC: -0.017117, Precision@10: 0.127083
Epoch 52/100, running_loss: 229.237827, test_loss: 1169.413005, MSE: 902.117188, IC: 0.016964, RIC: -0.005988, Precision@10: 0.143750
Epoch 53/100, running_loss: 206.544148, test_loss: 1189.500448, MSE: 928.281494, IC: 0.000574, RIC: -0.045601, Precision@10: 0.154167
Epoch 54/100, running_loss: 206.612022, test_loss: 1185.420003, MSE: 904.643311, IC: 0.022553, RIC: -0.012877, Precision@10: 0.159375
Epoch 55/100, running_loss: 284.057194, test_loss: 1694.169108, MSE: 1353.057129, IC: 0.038188, RIC: -0.002554, Precision@10: 0.187500
Epoch 56/100, running_loss: 240.001907, test_loss: 1201.399292, MSE: 939.090820, IC: 0.009847, RIC: -0.026291, Precision@10: 0.134375
Epoch 57/100, running_loss: 216.433198, test_loss: 1338.979940, MSE: 1042.193115, IC: -0.000682, RIC: -0.018956, Precision@10: 0.148958
Epoch 58/100, running_loss: 219.436230, test_loss: 1254.234212, MSE: 980.611145, IC: 0.031197, RIC: 0.000576, Precision@10: 0.183333
Epoch 59/100, running_loss: 209.517292, test_loss: 1198.073893, MSE: 923.018860, IC: 0.004886, RIC: -0.017533, Precision@10: 0.142708
Epoch 60/100, running_loss: 208.857479, test_loss: 1128.140422, MSE: 860.620422, IC: 0.042304, RIC: -0.013643, Precision@10: 0.180208
Epoch 61/100, running_loss: 210.824548, test_loss: 1146.396810, MSE: 855.971680, IC: -0.006663, RIC: -0.028286, Precision@10: 0.151042
Epoch 62/100, running_loss: 201.676164, test_loss: 1325.918050, MSE: 997.496338, IC: -0.025822, RIC: -0.047088, Precision@10: 0.133333
Epoch 63/100, running_loss: 209.480753, test_loss: 1311.179281, MSE: 1015.039490, IC: 0.004572, RIC: -0.032361, Precision@10: 0.133333
Epoch 64/100, running_loss: 200.671353, test_loss: 1209.977539, MSE: 921.277649, IC: 0.028158, RIC: -0.004249, Precision@10: 0.163542
Epoch 65/100, running_loss: 210.764239, test_loss: 1486.457357, MSE: 1178.159790, IC: -0.002072, RIC: -0.021831, Precision@10: 0.145833
Epoch 66/100, running_loss: 218.037284, test_loss: 1237.316447, MSE: 951.691406, IC: -0.014528, RIC: -0.028730, Precision@10: 0.135417
Epoch 67/100, running_loss: 231.939382, test_loss: 1523.953328, MSE: 1141.177856, IC: -0.057600, RIC: -0.067448, Precision@10: 0.133333
Epoch 68/100, running_loss: 298.382923, test_loss: 1187.839762, MSE: 902.496155, IC: 0.015954, RIC: -0.025159, Precision@10: 0.168750
Epoch 69/100, running_loss: 245.493489, test_loss: 1217.219889, MSE: 934.236328, IC: 0.022117, RIC: -0.008689, Precision@10: 0.173958
Epoch 70/100, running_loss: 234.572990, test_loss: 1425.045573, MSE: 1093.423462, IC: 0.007053, RIC: -0.013132, Precision@10: 0.156250
Epoch 71/100, running_loss: 319.868984, test_loss: 1237.410075, MSE: 968.196228, IC: 0.015789, RIC: -0.029268, Precision@10: 0.157292
Epoch 72/100, running_loss: 279.120997, test_loss: 1203.891825, MSE: 952.386230, IC: 0.042708, RIC: 0.009493, Precision@10: 0.163542
Epoch 73/100, running_loss: 230.838271, test_loss: 1581.731160, MSE: 1224.755493, IC: 0.013092, RIC: -0.012462, Precision@10: 0.131250
Epoch 74/100, running_loss: 289.337918, test_loss: 1388.420776, MSE: 1103.062500, IC: -0.015039, RIC: -0.040777, Precision@10: 0.130208
Epoch 75/100, running_loss: 224.418116, test_loss: 1135.749552, MSE: 887.597412, IC: 0.031803, RIC: 0.002377, Precision@10: 0.140625
Epoch 76/100, running_loss: 206.399445, test_loss: 1290.602498, MSE: 979.082581, IC: -0.004786, RIC: -0.029858, Precision@10: 0.178125
Epoch 77/100, running_loss: 241.223110, test_loss: 1313.037557, MSE: 1000.776794, IC: 0.003588, RIC: -0.010162, Precision@10: 0.153125
Epoch 78/100, running_loss: 248.393184, test_loss: 1731.410441, MSE: 1355.659546, IC: -0.009231, RIC: -0.032028, Precision@10: 0.134375
Epoch 79/100, running_loss: 241.287630, test_loss: 1293.127686, MSE: 1005.040100, IC: 0.003055, RIC: -0.036111, Precision@10: 0.128125
Epoch 80/100, running_loss: 300.181626, test_loss: 1179.049764, MSE: 901.455627, IC: 0.048264, RIC: 0.010821, Precision@10: 0.189583
Epoch 81/100, running_loss: 285.591195, test_loss: 1155.803711, MSE: 862.051758, IC: 0.007537, RIC: -0.023561, Precision@10: 0.165625
Epoch 82/100, running_loss: 249.797365, test_loss: 1291.546956, MSE: 983.755676, IC: -0.010058, RIC: -0.027902, Precision@10: 0.146875
Epoch 83/100, running_loss: 190.059620, test_loss: 1208.689738, MSE: 934.487061, IC: 0.032327, RIC: -0.005255, Precision@10: 0.158333
Epoch 84/100, running_loss: 190.634704, test_loss: 1195.793579, MSE: 913.653259, IC: -0.010907, RIC: -0.034712, Precision@10: 0.139583
Epoch 85/100, running_loss: 211.181653, test_loss: 1139.115072, MSE: 883.980896, IC: 0.027877, RIC: 0.002002, Precision@10: 0.163542
Epoch 86/100, running_loss: 204.671099, test_loss: 1138.732747, MSE: 854.311340, IC: 0.005712, RIC: -0.024964, Precision@10: 0.131250
Epoch 87/100, running_loss: 198.487753, test_loss: 1145.941691, MSE: 866.807129, IC: 0.023663, RIC: -0.015192, Precision@10: 0.147917
Epoch 88/100, running_loss: 206.289278, test_loss: 1505.303467, MSE: 1126.149536, IC: -0.035040, RIC: -0.052544, Precision@10: 0.147917
Epoch 89/100, running_loss: 274.878818, test_loss: 1183.379110, MSE: 915.274414, IC: 0.023014, RIC: 0.001176, Precision@10: 0.155208
Epoch 90/100, running_loss: 232.762727, test_loss: 1242.413411, MSE: 941.422180, IC: 0.011779, RIC: -0.018866, Precision@10: 0.165625
Epoch 91/100, running_loss: 252.382496, test_loss: 1291.265584, MSE: 998.716614, IC: 0.008905, RIC: -0.034523, Precision@10: 0.143750
Epoch 92/100, running_loss: 253.147087, test_loss: 1175.720744, MSE: 876.722656, IC: -0.013346, RIC: -0.033466, Precision@10: 0.153125
Epoch 93/100, running_loss: 240.995010, test_loss: 1245.884684, MSE: 957.936218, IC: 0.012332, RIC: -0.029477, Precision@10: 0.150000
Epoch 94/100, running_loss: 235.064267, test_loss: 1399.469849, MSE: 1082.933228, IC: -0.016414, RIC: -0.053029, Precision@10: 0.134375
Epoch 95/100, running_loss: 213.157827, test_loss: 1223.711182, MSE: 956.668152, IC: 0.018754, RIC: -0.018817, Precision@10: 0.170833
Epoch 96/100, running_loss: 205.681628, test_loss: 1308.786011, MSE: 1039.085571, IC: 0.004185, RIC: -0.027407, Precision@10: 0.161458
Epoch 97/100, running_loss: 215.855415, test_loss: 1239.229655, MSE: 963.086731, IC: 0.021825, RIC: -0.021819, Precision@10: 0.169792
Epoch 98/100, running_loss: 197.476283, test_loss: 1279.137126, MSE: 995.790833, IC: -0.009228, RIC: -0.040607, Precision@10: 0.142708
