train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 11929.652786, test_loss: 3842.828125, MSE: 3424.374023, IC: 0.013109, RIC: 0.013022, Precision@10: 0.148958
Best model saved at epoch 1
Epoch 2/100, running_loss: 2472.134952, test_loss: 2499.646647, MSE: 2150.275391, IC: 0.034217, RIC: 0.028114, Precision@10: 0.133333
Epoch 3/100, running_loss: 1341.058727, test_loss: 2053.060343, MSE: 1763.872681, IC: 0.023179, RIC: 0.010449, Precision@10: 0.159375
Best model saved at epoch 3
Epoch 4/100, running_loss: 927.598685, test_loss: 1620.212240, MSE: 1336.156860, IC: 0.044876, RIC: 0.036485, Precision@10: 0.166667
Best model saved at epoch 4
Epoch 5/100, running_loss: 759.567011, test_loss: 1411.327555, MSE: 1146.108521, IC: 0.026582, RIC: 0.007200, Precision@10: 0.157292
Epoch 6/100, running_loss: 639.949286, test_loss: 1403.453247, MSE: 1150.027222, IC: 0.035275, RIC: 0.009137, Precision@10: 0.160417
Epoch 7/100, running_loss: 589.644755, test_loss: 1172.498901, MSE: 893.446228, IC: 0.048305, RIC: 0.020781, Precision@10: 0.203125
Best model saved at epoch 7
Epoch 8/100, running_loss: 575.042709, test_loss: 1137.831584, MSE: 883.776184, IC: 0.006767, RIC: -0.014369, Precision@10: 0.154167
Epoch 9/100, running_loss: 482.223092, test_loss: 1179.267008, MSE: 931.955261, IC: 0.007536, RIC: -0.005070, Precision@10: 0.132292
Epoch 10/100, running_loss: 462.774683, test_loss: 1103.091553, MSE: 868.824402, IC: 0.018729, RIC: -0.005601, Precision@10: 0.144792
Epoch 11/100, running_loss: 428.923580, test_loss: 1380.516724, MSE: 1121.724731, IC: 0.036825, RIC: 0.032653, Precision@10: 0.127083
Epoch 12/100, running_loss: 404.162566, test_loss: 994.460246, MSE: 730.542297, IC: 0.024718, RIC: -0.009265, Precision@10: 0.165625
Epoch 13/100, running_loss: 423.606133, test_loss: 1081.931335, MSE: 847.257141, IC: 0.014811, RIC: -0.002365, Precision@10: 0.123958
Epoch 14/100, running_loss: 377.247551, test_loss: 1000.056885, MSE: 763.507019, IC: 0.012396, RIC: -0.000163, Precision@10: 0.125000
Epoch 15/100, running_loss: 380.385803, test_loss: 1348.013224, MSE: 1090.326660, IC: 0.029579, RIC: 0.014169, Precision@10: 0.129167
Epoch 16/100, running_loss: 378.591001, test_loss: 1302.254150, MSE: 977.896790, IC: 0.008871, RIC: -0.016379, Precision@10: 0.126042
Epoch 17/100, running_loss: 370.344327, test_loss: 1211.750122, MSE: 924.915039, IC: -0.000698, RIC: -0.029993, Precision@10: 0.145833
Epoch 18/100, running_loss: 332.183668, test_loss: 1224.109395, MSE: 947.281921, IC: -0.016151, RIC: -0.040226, Precision@10: 0.120833
Epoch 19/100, running_loss: 311.184458, test_loss: 1104.703003, MSE: 834.614807, IC: -0.018102, RIC: -0.040481, Precision@10: 0.139583
Epoch 20/100, running_loss: 315.853642, test_loss: 1011.346110, MSE: 755.753479, IC: 0.003674, RIC: -0.018580, Precision@10: 0.135417
Epoch 21/100, running_loss: 291.378977, test_loss: 1082.386678, MSE: 802.677002, IC: 0.017323, RIC: -0.026933, Precision@10: 0.152083
Epoch 22/100, running_loss: 301.215004, test_loss: 993.581482, MSE: 730.690125, IC: 0.001463, RIC: -0.034609, Precision@10: 0.139583
Epoch 23/100, running_loss: 281.015640, test_loss: 1005.552124, MSE: 733.644470, IC: 0.012079, RIC: -0.021237, Precision@10: 0.164583
Epoch 24/100, running_loss: 314.298083, test_loss: 1616.534749, MSE: 1224.124634, IC: -0.033565, RIC: -0.047905, Precision@10: 0.091667
Epoch 25/100, running_loss: 294.857030, test_loss: 1045.885396, MSE: 787.078186, IC: 0.012118, RIC: -0.021750, Precision@10: 0.122917
Epoch 26/100, running_loss: 276.464937, test_loss: 1318.511963, MSE: 1003.072937, IC: -0.018217, RIC: -0.047505, Precision@10: 0.121875
Epoch 27/100, running_loss: 282.431104, test_loss: 984.957316, MSE: 733.139587, IC: 0.008080, RIC: -0.013499, Precision@10: 0.155208
Epoch 28/100, running_loss: 258.813795, test_loss: 1558.084798, MSE: 1185.700806, IC: -0.018899, RIC: -0.034140, Precision@10: 0.110417
Epoch 29/100, running_loss: 275.715091, test_loss: 1034.144999, MSE: 747.637878, IC: -0.017516, RIC: -0.055175, Precision@10: 0.165625
Epoch 30/100, running_loss: 267.935189, test_loss: 1292.265096, MSE: 962.768555, IC: -0.024037, RIC: -0.066479, Precision@10: 0.119792
Epoch 31/100, running_loss: 238.691095, test_loss: 1075.889486, MSE: 791.359863, IC: -0.006550, RIC: -0.024035, Precision@10: 0.138542
Epoch 32/100, running_loss: 240.061124, test_loss: 1015.208252, MSE: 735.162842, IC: -0.017958, RIC: -0.047406, Precision@10: 0.137500
Epoch 33/100, running_loss: 231.257141, test_loss: 1088.493652, MSE: 793.414307, IC: -0.020661, RIC: -0.041953, Precision@10: 0.143750
Epoch 34/100, running_loss: 267.797327, test_loss: 940.031738, MSE: 670.318848, IC: -0.006795, RIC: -0.033475, Precision@10: 0.142708
Epoch 35/100, running_loss: 245.946072, test_loss: 985.665100, MSE: 734.693542, IC: 0.015439, RIC: -0.019888, Precision@10: 0.166667
Epoch 36/100, running_loss: 220.920239, test_loss: 1073.518005, MSE: 788.274719, IC: -0.006681, RIC: -0.041369, Precision@10: 0.148958
Epoch 37/100, running_loss: 219.891122, test_loss: 1010.807129, MSE: 735.854065, IC: -0.033670, RIC: -0.056831, Precision@10: 0.125000
Epoch 38/100, running_loss: 211.699867, test_loss: 1042.763123, MSE: 750.283936, IC: -0.013321, RIC: -0.027900, Precision@10: 0.134375
Epoch 39/100, running_loss: 239.753498, test_loss: 1281.093384, MSE: 1005.326172, IC: 0.021773, RIC: 0.001248, Precision@10: 0.130208
Epoch 40/100, running_loss: 242.586156, test_loss: 1181.102051, MSE: 865.596985, IC: -0.027461, RIC: -0.038400, Precision@10: 0.142708
Epoch 41/100, running_loss: 240.103412, test_loss: 1044.558268, MSE: 740.373352, IC: -0.020652, RIC: -0.035660, Precision@10: 0.142708
Epoch 42/100, running_loss: 211.749241, test_loss: 1013.407796, MSE: 753.598328, IC: 0.038879, RIC: -0.007522, Precision@10: 0.168750
Epoch 43/100, running_loss: 210.761467, test_loss: 1138.634725, MSE: 848.348633, IC: -0.006718, RIC: -0.018942, Precision@10: 0.128125
Epoch 44/100, running_loss: 207.579078, test_loss: 980.476990, MSE: 702.984558, IC: 0.025915, RIC: 0.006379, Precision@10: 0.177083
Epoch 45/100, running_loss: 227.739622, test_loss: 1159.232625, MSE: 856.928162, IC: -0.009862, RIC: -0.039500, Precision@10: 0.127083
Epoch 46/100, running_loss: 222.024695, test_loss: 1014.783407, MSE: 746.187927, IC: 0.030604, RIC: -0.006077, Precision@10: 0.158333
Epoch 47/100, running_loss: 219.602713, test_loss: 1020.522746, MSE: 746.163757, IC: 0.006294, RIC: -0.025220, Precision@10: 0.161458
Epoch 48/100, running_loss: 219.879985, test_loss: 1017.203837, MSE: 729.568054, IC: -0.006837, RIC: -0.038031, Precision@10: 0.141667
Epoch 49/100, running_loss: 207.660869, test_loss: 1088.215922, MSE: 802.313477, IC: -0.007979, RIC: -0.036378, Precision@10: 0.147917
Epoch 50/100, running_loss: 192.370024, test_loss: 1044.310201, MSE: 763.088928, IC: -0.030450, RIC: -0.039912, Precision@10: 0.126042
Epoch 51/100, running_loss: 200.742022, test_loss: 1190.940755, MSE: 899.783508, IC: 0.008558, RIC: -0.021388, Precision@10: 0.139583
Epoch 52/100, running_loss: 210.261650, test_loss: 1019.854268, MSE: 740.321045, IC: 0.009100, RIC: -0.019598, Precision@10: 0.173958
Epoch 53/100, running_loss: 206.211801, test_loss: 1051.137573, MSE: 777.678040, IC: 0.029463, RIC: -0.009529, Precision@10: 0.172917
Epoch 54/100, running_loss: 195.382414, test_loss: 1095.815063, MSE: 804.320251, IC: 0.007520, RIC: -0.024955, Precision@10: 0.160417
Epoch 55/100, running_loss: 200.696473, test_loss: 1155.220662, MSE: 855.903809, IC: -0.013344, RIC: -0.037772, Precision@10: 0.146875
Epoch 56/100, running_loss: 192.313447, test_loss: 1123.737284, MSE: 825.357117, IC: -0.006974, RIC: -0.037389, Precision@10: 0.146875
Epoch 57/100, running_loss: 197.392301, test_loss: 1126.400594, MSE: 831.027161, IC: -0.013859, RIC: -0.028524, Precision@10: 0.134375
Epoch 58/100, running_loss: 216.501819, test_loss: 1092.991699, MSE: 804.685791, IC: 0.015396, RIC: 0.000325, Precision@10: 0.155208
Epoch 59/100, running_loss: 201.627370, test_loss: 1059.248210, MSE: 776.351013, IC: 0.000614, RIC: -0.020688, Precision@10: 0.155208
Epoch 60/100, running_loss: 183.865079, test_loss: 1095.799032, MSE: 812.228699, IC: 0.004152, RIC: -0.030927, Precision@10: 0.158333
Epoch 61/100, running_loss: 195.856192, test_loss: 1350.597982, MSE: 937.540222, IC: -0.050464, RIC: -0.055026, Precision@10: 0.108333
Epoch 62/100, running_loss: 201.093278, test_loss: 1180.944173, MSE: 860.311340, IC: -0.029531, RIC: -0.048916, Precision@10: 0.147917
Epoch 63/100, running_loss: 198.862957, test_loss: 1174.753825, MSE: 886.305969, IC: 0.008582, RIC: -0.018345, Precision@10: 0.154167
Epoch 64/100, running_loss: 200.508820, test_loss: 1196.889445, MSE: 852.089355, IC: -0.018293, RIC: -0.032369, Precision@10: 0.157292
Epoch 65/100, running_loss: 186.888272, test_loss: 1124.206787, MSE: 827.583191, IC: -0.001289, RIC: -0.019719, Precision@10: 0.154167
Epoch 66/100, running_loss: 194.054340, test_loss: 1089.736450, MSE: 801.960876, IC: 0.006274, RIC: -0.015336, Precision@10: 0.140625
Epoch 67/100, running_loss: 189.114274, test_loss: 1127.311157, MSE: 802.934082, IC: -0.012144, RIC: -0.031280, Precision@10: 0.165625
Epoch 68/100, running_loss: 176.448395, test_loss: 1098.568481, MSE: 799.787781, IC: 0.002453, RIC: -0.025770, Precision@10: 0.159375
Epoch 69/100, running_loss: 176.528332, test_loss: 1044.558634, MSE: 752.447754, IC: 0.009369, RIC: -0.009192, Precision@10: 0.172917
Epoch 70/100, running_loss: 191.211623, test_loss: 1272.817424, MSE: 931.567078, IC: 0.013003, RIC: -0.008863, Precision@10: 0.164583
Epoch 71/100, running_loss: 270.681311, test_loss: 1174.905843, MSE: 890.689453, IC: 0.011372, RIC: -0.014613, Precision@10: 0.136458
Epoch 72/100, running_loss: 232.442295, test_loss: 1041.516073, MSE: 765.563538, IC: 0.027611, RIC: 0.015065, Precision@10: 0.173958
Epoch 73/100, running_loss: 199.281452, test_loss: 1090.013692, MSE: 801.096436, IC: 0.043713, RIC: 0.015531, Precision@10: 0.176042
Epoch 74/100, running_loss: 193.657694, test_loss: 1174.475627, MSE: 869.404968, IC: -0.023304, RIC: -0.041869, Precision@10: 0.145833
Epoch 75/100, running_loss: 175.989673, test_loss: 1110.292399, MSE: 832.050598, IC: 0.014095, RIC: -0.005730, Precision@10: 0.123958
Epoch 76/100, running_loss: 176.304900, test_loss: 1180.731649, MSE: 865.497803, IC: -0.043406, RIC: -0.059422, Precision@10: 0.135417
Epoch 77/100, running_loss: 176.946902, test_loss: 1032.837992, MSE: 753.221191, IC: 0.029513, RIC: 0.002531, Precision@10: 0.151042
Epoch 78/100, running_loss: 174.402491, test_loss: 1169.083089, MSE: 866.952942, IC: 0.003062, RIC: -0.018632, Precision@10: 0.141667
Epoch 79/100, running_loss: 185.493644, test_loss: 1135.110209, MSE: 815.695557, IC: -0.019609, RIC: -0.052949, Precision@10: 0.133333
Epoch 80/100, running_loss: 198.554353, test_loss: 1110.178833, MSE: 843.364075, IC: 0.022007, RIC: -0.002800, Precision@10: 0.158333
Epoch 81/100, running_loss: 195.534556, test_loss: 1250.543579, MSE: 929.789307, IC: -0.017324, RIC: -0.042732, Precision@10: 0.144792
Epoch 82/100, running_loss: 172.675868, test_loss: 1081.589355, MSE: 783.237976, IC: -0.013607, RIC: -0.024549, Precision@10: 0.155208
Epoch 83/100, running_loss: 168.655186, test_loss: 1046.066325, MSE: 775.763489, IC: 0.044021, RIC: 0.005452, Precision@10: 0.166667
Epoch 84/100, running_loss: 175.074045, test_loss: 1067.364665, MSE: 771.260559, IC: -0.017678, RIC: -0.034408, Precision@10: 0.143750
Epoch 85/100, running_loss: 161.946755, test_loss: 1052.339539, MSE: 776.540466, IC: 0.004649, RIC: -0.010680, Precision@10: 0.155208
Epoch 86/100, running_loss: 160.234467, test_loss: 1080.615051, MSE: 803.516052, IC: 0.009975, RIC: -0.018596, Precision@10: 0.153125
Epoch 87/100, running_loss: 162.133571, test_loss: 1053.083577, MSE: 770.750793, IC: -0.006187, RIC: -0.029066, Precision@10: 0.141667
Epoch 88/100, running_loss: 166.747435, test_loss: 1139.417521, MSE: 828.375671, IC: -0.047712, RIC: -0.053045, Precision@10: 0.147917
Epoch 89/100, running_loss: 178.585525, test_loss: 1176.452677, MSE: 854.162292, IC: -0.008158, RIC: -0.017821, Precision@10: 0.147917
Epoch 90/100, running_loss: 176.470529, test_loss: 1145.069010, MSE: 846.545959, IC: -0.003069, RIC: -0.022966, Precision@10: 0.144792
Epoch 91/100, running_loss: 173.571883, test_loss: 1147.579590, MSE: 868.638855, IC: 0.043511, RIC: 0.010722, Precision@10: 0.186458
