train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 23047.846331, test_loss: 4425.518717, MSE: 3752.767334, IC: 0.003778, RIC: -0.043444, Precision@10: 0.185417
Best model saved at epoch 1
Epoch 2/100, running_loss: 2579.449573, test_loss: 2446.143636, MSE: 2057.400146, IC: 0.071212, RIC: 0.032273, Precision@10: 0.201042
Best model saved at epoch 2
Epoch 3/100, running_loss: 1386.217983, test_loss: 1722.818400, MSE: 1370.820190, IC: 0.009439, RIC: -0.021919, Precision@10: 0.167708
Epoch 4/100, running_loss: 911.167550, test_loss: 1438.634074, MSE: 1133.930176, IC: 0.041473, RIC: 0.001873, Precision@10: 0.163542
Epoch 5/100, running_loss: 703.399193, test_loss: 1334.912435, MSE: 1028.276489, IC: 0.042230, RIC: 0.005729, Precision@10: 0.152083
Epoch 6/100, running_loss: 607.607247, test_loss: 1247.752197, MSE: 959.998230, IC: 0.027478, RIC: 0.011149, Precision@10: 0.155208
Epoch 7/100, running_loss: 526.794556, test_loss: 1282.061483, MSE: 1004.280029, IC: 0.019705, RIC: -0.007096, Precision@10: 0.158333
Epoch 8/100, running_loss: 479.219529, test_loss: 1248.239299, MSE: 964.666260, IC: 0.036773, RIC: 0.006455, Precision@10: 0.146875
Epoch 9/100, running_loss: 464.387376, test_loss: 1524.652262, MSE: 1245.239502, IC: 0.004845, RIC: -0.023096, Precision@10: 0.122917
Epoch 10/100, running_loss: 434.916549, test_loss: 1233.738851, MSE: 927.731750, IC: -0.005129, RIC: -0.020020, Precision@10: 0.137500
Epoch 11/100, running_loss: 389.510388, test_loss: 1230.406576, MSE: 961.044678, IC: 0.019040, RIC: -0.008462, Precision@10: 0.172917
Epoch 12/100, running_loss: 363.257076, test_loss: 1250.416300, MSE: 982.399109, IC: 0.037509, RIC: 0.022215, Precision@10: 0.176042
Epoch 13/100, running_loss: 354.941075, test_loss: 1227.896932, MSE: 942.417480, IC: 0.033776, RIC: 0.013887, Precision@10: 0.159375
Epoch 14/100, running_loss: 332.820517, test_loss: 1347.011800, MSE: 1067.625122, IC: 0.036069, RIC: 0.017075, Precision@10: 0.144792
Epoch 15/100, running_loss: 342.801567, test_loss: 1299.789225, MSE: 1024.516113, IC: 0.029654, RIC: 0.024998, Precision@10: 0.122917
Epoch 16/100, running_loss: 323.767814, test_loss: 1362.995890, MSE: 1084.719360, IC: 0.035984, RIC: 0.004720, Precision@10: 0.144792
Epoch 17/100, running_loss: 301.326263, test_loss: 1314.058065, MSE: 1024.169434, IC: 0.023144, RIC: 0.016788, Precision@10: 0.154167
Epoch 18/100, running_loss: 298.364888, test_loss: 1287.568319, MSE: 998.014648, IC: 0.013683, RIC: 0.000835, Precision@10: 0.155208
Epoch 19/100, running_loss: 284.254671, test_loss: 1189.261068, MSE: 894.859070, IC: 0.050551, RIC: 0.036675, Precision@10: 0.162500
Epoch 20/100, running_loss: 275.182427, test_loss: 1235.281982, MSE: 925.235413, IC: 0.036628, RIC: 0.035845, Precision@10: 0.157292
Epoch 21/100, running_loss: 254.396740, test_loss: 1218.824666, MSE: 931.302734, IC: 0.057854, RIC: 0.039409, Precision@10: 0.170833
Epoch 22/100, running_loss: 251.109551, test_loss: 1322.003947, MSE: 1023.722351, IC: 0.024802, RIC: 0.019552, Precision@10: 0.167708
Epoch 23/100, running_loss: 257.464285, test_loss: 1219.010010, MSE: 938.600281, IC: 0.053232, RIC: 0.028660, Precision@10: 0.162500
Epoch 24/100, running_loss: 248.754903, test_loss: 1311.353271, MSE: 1005.011047, IC: 0.034773, RIC: 0.019185, Precision@10: 0.169792
Epoch 25/100, running_loss: 238.936457, test_loss: 1324.176961, MSE: 1048.471924, IC: 0.027743, RIC: 0.009827, Precision@10: 0.163542
Epoch 26/100, running_loss: 265.377430, test_loss: 1298.135864, MSE: 1000.585754, IC: 0.000441, RIC: -0.020488, Precision@10: 0.153125
Epoch 27/100, running_loss: 249.189001, test_loss: 1198.470418, MSE: 915.998108, IC: 0.025839, RIC: 0.011244, Precision@10: 0.147917
Epoch 28/100, running_loss: 228.930975, test_loss: 1201.406250, MSE: 908.788269, IC: 0.060712, RIC: 0.029641, Precision@10: 0.182292
Epoch 29/100, running_loss: 260.887711, test_loss: 1263.219645, MSE: 945.385925, IC: -0.001112, RIC: -0.022456, Precision@10: 0.157292
Epoch 30/100, running_loss: 248.577193, test_loss: 1194.292765, MSE: 900.277832, IC: -0.010875, RIC: -0.022816, Precision@10: 0.150000
Epoch 31/100, running_loss: 242.705223, test_loss: 1315.675049, MSE: 996.292480, IC: 0.020633, RIC: 0.000536, Precision@10: 0.161458
Epoch 32/100, running_loss: 216.870177, test_loss: 1348.219767, MSE: 1054.617310, IC: -0.015692, RIC: -0.033857, Precision@10: 0.123958
Epoch 33/100, running_loss: 210.235658, test_loss: 1187.176636, MSE: 880.763000, IC: 0.015153, RIC: -0.010019, Precision@10: 0.173958
Epoch 34/100, running_loss: 221.420020, test_loss: 1258.558757, MSE: 951.422852, IC: 0.023271, RIC: 0.007650, Precision@10: 0.154167
Epoch 35/100, running_loss: 219.688147, test_loss: 1313.936523, MSE: 982.539612, IC: 0.021711, RIC: 0.001206, Precision@10: 0.171875
Epoch 36/100, running_loss: 238.785396, test_loss: 1236.808472, MSE: 943.247131, IC: -0.006802, RIC: -0.019395, Precision@10: 0.145833
Epoch 37/100, running_loss: 248.886398, test_loss: 1088.961100, MSE: 801.204529, IC: 0.015545, RIC: -0.003116, Precision@10: 0.157292
Epoch 38/100, running_loss: 239.269155, test_loss: 1207.676270, MSE: 936.068054, IC: 0.043110, RIC: 0.039183, Precision@10: 0.142708
Epoch 39/100, running_loss: 218.017109, test_loss: 1101.194092, MSE: 831.635010, IC: 0.055616, RIC: 0.025589, Precision@10: 0.173958
Epoch 40/100, running_loss: 213.177607, test_loss: 1202.172201, MSE: 923.944031, IC: 0.069181, RIC: 0.037129, Precision@10: 0.181250
Epoch 41/100, running_loss: 205.737111, test_loss: 1185.840820, MSE: 894.522949, IC: 0.030268, RIC: 0.005496, Precision@10: 0.169792
Epoch 42/100, running_loss: 310.255779, test_loss: 1089.335775, MSE: 812.641418, IC: 0.048571, RIC: 0.041323, Precision@10: 0.158333
Epoch 43/100, running_loss: 263.300002, test_loss: 1101.920939, MSE: 843.654053, IC: 0.010214, RIC: 0.001341, Precision@10: 0.144792
Epoch 44/100, running_loss: 217.116037, test_loss: 1454.822225, MSE: 1111.742920, IC: 0.057236, RIC: 0.035014, Precision@10: 0.189583
Epoch 45/100, running_loss: 314.647651, test_loss: 1225.422201, MSE: 928.213867, IC: 0.046814, RIC: 0.031292, Precision@10: 0.168750
Epoch 46/100, running_loss: 290.676614, test_loss: 1132.657349, MSE: 829.546448, IC: 0.017046, RIC: 0.001576, Precision@10: 0.170833
Epoch 47/100, running_loss: 212.504400, test_loss: 1141.552165, MSE: 867.320557, IC: 0.043610, RIC: 0.030529, Precision@10: 0.153125
Epoch 48/100, running_loss: 197.358022, test_loss: 1102.773112, MSE: 846.575745, IC: 0.041207, RIC: 0.014432, Precision@10: 0.148958
Epoch 49/100, running_loss: 201.898522, test_loss: 1239.182332, MSE: 914.692566, IC: 0.012173, RIC: 0.003807, Precision@10: 0.168750
Epoch 50/100, running_loss: 242.039065, test_loss: 1119.556641, MSE: 832.168457, IC: 0.001363, RIC: -0.000955, Precision@10: 0.159375
Epoch 51/100, running_loss: 194.595240, test_loss: 1140.757690, MSE: 880.752686, IC: 0.046953, RIC: 0.027806, Precision@10: 0.147917
Epoch 52/100, running_loss: 259.000561, test_loss: 1077.860636, MSE: 814.865540, IC: 0.017472, RIC: 0.011181, Precision@10: 0.117708
Epoch 53/100, running_loss: 183.876720, test_loss: 1066.919840, MSE: 797.795471, IC: 0.033378, RIC: 0.012455, Precision@10: 0.154167
Epoch 54/100, running_loss: 171.181183, test_loss: 1037.940470, MSE: 764.901794, IC: 0.056793, RIC: 0.036022, Precision@10: 0.190625
Epoch 55/100, running_loss: 176.738762, test_loss: 1110.678385, MSE: 830.820251, IC: 0.047513, RIC: 0.030993, Precision@10: 0.190625
Epoch 56/100, running_loss: 177.816146, test_loss: 1197.874674, MSE: 895.387878, IC: 0.006806, RIC: -0.000769, Precision@10: 0.152083
Epoch 57/100, running_loss: 192.592824, test_loss: 1117.425496, MSE: 836.717468, IC: 0.025168, RIC: 0.010916, Precision@10: 0.173958
Epoch 58/100, running_loss: 225.333700, test_loss: 1125.170980, MSE: 847.959473, IC: 0.067261, RIC: 0.048672, Precision@10: 0.190625
Epoch 59/100, running_loss: 177.088635, test_loss: 1066.497640, MSE: 787.095703, IC: 0.021663, RIC: -0.000091, Precision@10: 0.152083
Epoch 60/100, running_loss: 167.698495, test_loss: 1126.312134, MSE: 858.496765, IC: 0.042807, RIC: 0.031159, Precision@10: 0.154167
Epoch 61/100, running_loss: 199.916061, test_loss: 1127.495199, MSE: 844.858215, IC: 0.015862, RIC: -0.009341, Precision@10: 0.157292
Epoch 62/100, running_loss: 202.127865, test_loss: 1184.362712, MSE: 925.077942, IC: 0.050802, RIC: 0.011899, Precision@10: 0.152083
Epoch 63/100, running_loss: 177.372017, test_loss: 1112.397257, MSE: 861.021301, IC: 0.070560, RIC: 0.051000, Precision@10: 0.161458
Epoch 64/100, running_loss: 232.786022, test_loss: 1068.898193, MSE: 794.937500, IC: 0.014821, RIC: 0.001781, Precision@10: 0.150000
Epoch 65/100, running_loss: 213.045823, test_loss: 1191.964681, MSE: 935.758484, IC: 0.051739, RIC: 0.022211, Precision@10: 0.156250
Epoch 66/100, running_loss: 185.306511, test_loss: 1137.701090, MSE: 876.763611, IC: 0.056637, RIC: 0.033022, Precision@10: 0.158333
Epoch 67/100, running_loss: 202.555492, test_loss: 1272.725545, MSE: 950.613953, IC: 0.038970, RIC: 0.009004, Precision@10: 0.203125
Best model saved at epoch 67
Epoch 68/100, running_loss: 221.141425, test_loss: 1167.956014, MSE: 899.408447, IC: 0.055620, RIC: 0.028710, Precision@10: 0.170833
Epoch 69/100, running_loss: 209.454099, test_loss: 1252.665568, MSE: 973.609192, IC: 0.005898, RIC: -0.002704, Precision@10: 0.137500
Epoch 70/100, running_loss: 301.268999, test_loss: 1387.492920, MSE: 1084.891724, IC: 0.084260, RIC: 0.057193, Precision@10: 0.226042
Best model saved at epoch 70
Epoch 71/100, running_loss: 244.568620, test_loss: 1077.036214, MSE: 813.507629, IC: 0.078162, RIC: 0.052595, Precision@10: 0.166667
Epoch 72/100, running_loss: 200.443084, test_loss: 1087.852336, MSE: 812.039795, IC: 0.029707, RIC: 0.011745, Precision@10: 0.156250
Epoch 73/100, running_loss: 173.185540, test_loss: 1277.405029, MSE: 992.744568, IC: -0.008176, RIC: -0.020153, Precision@10: 0.136458
Epoch 74/100, running_loss: 204.661080, test_loss: 1241.863403, MSE: 940.362000, IC: 0.028692, RIC: 0.014922, Precision@10: 0.164583
Epoch 75/100, running_loss: 187.375468, test_loss: 1165.308675, MSE: 913.844727, IC: 0.015622, RIC: -0.005114, Precision@10: 0.140625
Epoch 76/100, running_loss: 208.762147, test_loss: 1050.402791, MSE: 775.925049, IC: 0.049111, RIC: 0.033636, Precision@10: 0.179167
Epoch 77/100, running_loss: 174.151543, test_loss: 1248.178996, MSE: 957.271667, IC: 0.004990, RIC: -0.017896, Precision@10: 0.164583
