train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 24222.947126, test_loss: 6016.114421, MSE: 5208.095215, IC: -0.005449, RIC: -0.003225, Precision@10: 0.157292
Best model saved at epoch 1
Epoch 2/100, running_loss: 2561.549863, test_loss: 2180.760213, MSE: 1774.961548, IC: 0.003080, RIC: -0.008633, Precision@10: 0.114583
Epoch 3/100, running_loss: 1467.704154, test_loss: 1674.395264, MSE: 1286.983032, IC: 0.011150, RIC: -0.014652, Precision@10: 0.147917
Epoch 4/100, running_loss: 1001.367635, test_loss: 1686.611816, MSE: 1351.638794, IC: 0.019241, RIC: -0.010252, Precision@10: 0.162500
Best model saved at epoch 4
Epoch 5/100, running_loss: 808.531770, test_loss: 1359.725342, MSE: 1045.488892, IC: 0.004247, RIC: -0.015392, Precision@10: 0.169792
Best model saved at epoch 5
Epoch 6/100, running_loss: 685.087638, test_loss: 1432.635132, MSE: 1146.144409, IC: 0.021916, RIC: -0.005316, Precision@10: 0.187500
Best model saved at epoch 6
Epoch 7/100, running_loss: 626.942499, test_loss: 1329.779134, MSE: 1041.609009, IC: 0.031859, RIC: 0.011403, Precision@10: 0.148958
Epoch 8/100, running_loss: 552.520380, test_loss: 1441.405680, MSE: 1171.487671, IC: 0.034139, RIC: 0.012579, Precision@10: 0.143750
Epoch 9/100, running_loss: 496.546920, test_loss: 1346.810791, MSE: 1085.625610, IC: 0.034315, RIC: 0.006246, Precision@10: 0.160417
Epoch 10/100, running_loss: 459.433935, test_loss: 1208.233846, MSE: 945.966003, IC: 0.032044, RIC: 0.014062, Precision@10: 0.168750
Epoch 11/100, running_loss: 442.274750, test_loss: 1342.834106, MSE: 1056.957153, IC: 0.028023, RIC: -0.003296, Precision@10: 0.180208
Epoch 12/100, running_loss: 439.972700, test_loss: 1108.157328, MSE: 856.034180, IC: 0.031401, RIC: 0.004153, Precision@10: 0.153125
Epoch 13/100, running_loss: 421.402928, test_loss: 1159.912069, MSE: 898.433167, IC: 0.041400, RIC: 0.003398, Precision@10: 0.176042
Epoch 14/100, running_loss: 420.044291, test_loss: 1686.337118, MSE: 1356.321899, IC: 0.009558, RIC: -0.003712, Precision@10: 0.133333
Epoch 15/100, running_loss: 433.838389, test_loss: 1174.333008, MSE: 921.089355, IC: 0.013951, RIC: 0.002705, Precision@10: 0.151042
Epoch 16/100, running_loss: 419.495201, test_loss: 1100.233480, MSE: 836.334412, IC: 0.026551, RIC: 0.000923, Precision@10: 0.161458
