train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 9316.236540, test_loss: 1465.017619, MSE: 1259.901733, IC: 0.005441, RIC: -0.009170, Precision@10: 0.121875
Best model saved at epoch 1
Epoch 2/100, running_loss: 762.728969, test_loss: 957.073771, MSE: 817.575867, IC: 0.091038, RIC: 0.081185, Precision@10: 0.186458
Best model saved at epoch 2
Epoch 3/100, running_loss: 375.709218, test_loss: 651.571676, MSE: 535.052185, IC: 0.034403, RIC: 0.031237, Precision@10: 0.160417
Epoch 4/100, running_loss: 280.517892, test_loss: 658.566752, MSE: 530.715149, IC: 0.043466, RIC: 0.034799, Precision@10: 0.153125
Epoch 5/100, running_loss: 235.576248, test_loss: 628.053385, MSE: 505.126984, IC: 0.043538, RIC: 0.023290, Precision@10: 0.185417
Epoch 6/100, running_loss: 202.207272, test_loss: 654.621134, MSE: 536.494629, IC: 0.066414, RIC: 0.053008, Precision@10: 0.198958
Best model saved at epoch 6
Epoch 7/100, running_loss: 178.707900, test_loss: 544.796346, MSE: 427.217499, IC: 0.007051, RIC: -0.000680, Precision@10: 0.180208
Epoch 8/100, running_loss: 167.279821, test_loss: 529.072591, MSE: 417.475586, IC: 0.079209, RIC: 0.044275, Precision@10: 0.184375
Epoch 9/100, running_loss: 159.755992, test_loss: 537.733073, MSE: 423.715668, IC: 0.022816, RIC: 0.014144, Precision@10: 0.178125
Epoch 10/100, running_loss: 137.475781, test_loss: 517.148824, MSE: 405.350189, IC: 0.020132, RIC: 0.009778, Precision@10: 0.161458
Epoch 11/100, running_loss: 133.686163, test_loss: 467.707896, MSE: 366.623627, IC: 0.032259, RIC: 0.007966, Precision@10: 0.184375
Epoch 12/100, running_loss: 136.667558, test_loss: 548.680216, MSE: 433.925812, IC: 0.032446, RIC: 0.016037, Precision@10: 0.184375
Epoch 13/100, running_loss: 117.379723, test_loss: 580.600342, MSE: 458.901581, IC: 0.035207, RIC: 0.008614, Precision@10: 0.180208
Epoch 14/100, running_loss: 103.620773, test_loss: 492.262594, MSE: 380.880829, IC: 0.021323, RIC: 0.015633, Precision@10: 0.173958
Epoch 15/100, running_loss: 99.273303, test_loss: 618.269897, MSE: 486.322174, IC: -0.017841, RIC: -0.030712, Precision@10: 0.150000
Epoch 16/100, running_loss: 95.236394, test_loss: 529.964579, MSE: 412.699615, IC: 0.010090, RIC: -0.026381, Precision@10: 0.170833
Epoch 17/100, running_loss: 90.777475, test_loss: 473.671021, MSE: 369.598755, IC: 0.010951, RIC: 0.008635, Precision@10: 0.151042
Epoch 18/100, running_loss: 84.408575, test_loss: 607.254781, MSE: 474.147614, IC: -0.012592, RIC: -0.028502, Precision@10: 0.148958
Epoch 19/100, running_loss: 89.957263, test_loss: 493.159465, MSE: 370.940582, IC: 0.012501, RIC: 0.002417, Precision@10: 0.163542
Epoch 20/100, running_loss: 78.651750, test_loss: 513.861003, MSE: 397.443451, IC: 0.020150, RIC: 0.012094, Precision@10: 0.167708
Epoch 21/100, running_loss: 72.592686, test_loss: 562.342957, MSE: 440.226440, IC: 0.037233, RIC: 0.012010, Precision@10: 0.180208
Epoch 22/100, running_loss: 72.042865, test_loss: 545.444438, MSE: 426.874023, IC: 0.008432, RIC: 0.002972, Precision@10: 0.170833
Epoch 23/100, running_loss: 73.730318, test_loss: 540.330668, MSE: 418.609619, IC: 0.001754, RIC: -0.006482, Precision@10: 0.167708
Epoch 24/100, running_loss: 68.527914, test_loss: 672.112223, MSE: 530.260681, IC: 0.001506, RIC: -0.009469, Precision@10: 0.172917
Epoch 25/100, running_loss: 77.008515, test_loss: 470.057668, MSE: 367.622650, IC: 0.031747, RIC: 0.012436, Precision@10: 0.173958
Epoch 26/100, running_loss: 69.492748, test_loss: 567.574443, MSE: 451.182495, IC: 0.005476, RIC: -0.005992, Precision@10: 0.159375
Epoch 27/100, running_loss: 63.067551, test_loss: 486.140035, MSE: 376.170502, IC: 0.001816, RIC: -0.011016, Precision@10: 0.153125
Epoch 28/100, running_loss: 65.921856, test_loss: 549.054077, MSE: 429.624359, IC: 0.017601, RIC: -0.004515, Precision@10: 0.180208
Epoch 29/100, running_loss: 61.788500, test_loss: 532.263977, MSE: 417.260406, IC: 0.011280, RIC: -0.004104, Precision@10: 0.157292
Epoch 30/100, running_loss: 58.450725, test_loss: 578.209391, MSE: 463.793945, IC: 0.042672, RIC: 0.023850, Precision@10: 0.183333
Epoch 31/100, running_loss: 54.960725, test_loss: 516.518880, MSE: 402.342041, IC: 0.015078, RIC: 0.002531, Precision@10: 0.152083
Epoch 32/100, running_loss: 55.939139, test_loss: 546.847778, MSE: 427.483276, IC: 0.017378, RIC: -0.011917, Precision@10: 0.162500
Epoch 33/100, running_loss: 55.330256, test_loss: 563.047384, MSE: 446.597992, IC: 0.016156, RIC: 0.005090, Precision@10: 0.170833
