train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 6928.312602, test_loss: 2129.868937, MSE: 1910.358032, IC: 0.014343, RIC: 0.007634, Precision@10: 0.192708
Best model saved at epoch 1
Epoch 2/100, running_loss: 742.397833, test_loss: 914.575724, MSE: 749.636902, IC: 0.007292, RIC: -0.003991, Precision@10: 0.156250
Epoch 3/100, running_loss: 375.375074, test_loss: 679.140910, MSE: 547.248901, IC: 0.020993, RIC: 0.002073, Precision@10: 0.165625
Epoch 4/100, running_loss: 290.223522, test_loss: 868.474487, MSE: 723.047424, IC: 0.043673, RIC: 0.009046, Precision@10: 0.213542
Best model saved at epoch 4
Epoch 5/100, running_loss: 275.161876, test_loss: 701.884033, MSE: 556.879944, IC: 0.016086, RIC: -0.006472, Precision@10: 0.177083
Epoch 6/100, running_loss: 224.961489, test_loss: 752.480469, MSE: 611.869385, IC: 0.004435, RIC: -0.020233, Precision@10: 0.170833
Epoch 7/100, running_loss: 199.238606, test_loss: 664.850810, MSE: 528.363220, IC: 0.019722, RIC: -0.002454, Precision@10: 0.167708
Epoch 8/100, running_loss: 183.752837, test_loss: 720.043050, MSE: 583.947571, IC: 0.010443, RIC: 0.004925, Precision@10: 0.165625
Epoch 9/100, running_loss: 182.052471, test_loss: 627.667236, MSE: 499.267853, IC: -0.003300, RIC: -0.013760, Precision@10: 0.167708
Epoch 10/100, running_loss: 155.687113, test_loss: 718.037577, MSE: 580.483276, IC: 0.005006, RIC: -0.018014, Precision@10: 0.177083
Epoch 11/100, running_loss: 137.916233, test_loss: 819.358846, MSE: 654.671692, IC: -0.039689, RIC: -0.048750, Precision@10: 0.167708
Epoch 12/100, running_loss: 124.931524, test_loss: 759.444621, MSE: 614.772705, IC: 0.011684, RIC: -0.011217, Precision@10: 0.169792
Epoch 13/100, running_loss: 114.536667, test_loss: 689.979777, MSE: 556.375305, IC: 0.023630, RIC: 0.005761, Precision@10: 0.180208
Epoch 14/100, running_loss: 117.546471, test_loss: 737.655558, MSE: 597.976013, IC: 0.010149, RIC: -0.022088, Precision@10: 0.186458
