train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 6807.090129, test_loss: 1329.422078, MSE: 1125.140747, IC: -0.003798, RIC: -0.012047, Precision@10: 0.163542
Best model saved at epoch 1
Epoch 2/100, running_loss: 809.958659, test_loss: 1059.094401, MSE: 889.002625, IC: -0.015009, RIC: -0.018875, Precision@10: 0.136458
Epoch 3/100, running_loss: 472.481922, test_loss: 945.695719, MSE: 812.554199, IC: -0.003286, RIC: -0.014315, Precision@10: 0.140625
Epoch 4/100, running_loss: 355.537493, test_loss: 803.238363, MSE: 668.052795, IC: 0.011065, RIC: -0.001070, Precision@10: 0.157292
Epoch 5/100, running_loss: 290.987014, test_loss: 724.069865, MSE: 599.515137, IC: -0.005093, RIC: -0.012464, Precision@10: 0.138542
Epoch 6/100, running_loss: 252.711456, test_loss: 665.323201, MSE: 547.923828, IC: -0.025879, RIC: -0.048109, Precision@10: 0.125000
Epoch 7/100, running_loss: 227.256571, test_loss: 645.436300, MSE: 530.723938, IC: 0.011835, RIC: 0.003114, Precision@10: 0.159375
Epoch 8/100, running_loss: 204.759498, test_loss: 633.252625, MSE: 523.174316, IC: -0.012770, RIC: -0.020400, Precision@10: 0.128125
Epoch 9/100, running_loss: 179.319434, test_loss: 611.598633, MSE: 503.891510, IC: 0.009710, RIC: 0.006883, Precision@10: 0.127083
Epoch 10/100, running_loss: 165.732378, test_loss: 600.892171, MSE: 495.269745, IC: -0.022713, RIC: -0.034585, Precision@10: 0.135417
Epoch 11/100, running_loss: 151.503710, test_loss: 605.209778, MSE: 496.204590, IC: -0.031764, RIC: -0.020707, Precision@10: 0.110417
Epoch 12/100, running_loss: 145.574605, test_loss: 587.434977, MSE: 475.382843, IC: -0.014466, RIC: -0.024220, Precision@10: 0.129167
Epoch 13/100, running_loss: 136.555903, test_loss: 554.924988, MSE: 446.421295, IC: -0.015380, RIC: -0.018296, Precision@10: 0.132292
Epoch 14/100, running_loss: 121.046367, test_loss: 549.217733, MSE: 445.812592, IC: -0.000252, RIC: -0.010809, Precision@10: 0.132292
Epoch 15/100, running_loss: 116.474904, test_loss: 537.163167, MSE: 437.612152, IC: 0.032844, RIC: 0.032551, Precision@10: 0.127083
Epoch 16/100, running_loss: 113.254212, test_loss: 555.866699, MSE: 445.813629, IC: 0.049579, RIC: 0.038685, Precision@10: 0.144792
Epoch 17/100, running_loss: 104.196456, test_loss: 535.651245, MSE: 421.619720, IC: -0.015025, RIC: -0.014961, Precision@10: 0.129167
Epoch 18/100, running_loss: 105.354723, test_loss: 552.138723, MSE: 440.268402, IC: -0.002003, RIC: -0.006575, Precision@10: 0.139583
Epoch 19/100, running_loss: 102.855357, test_loss: 572.080851, MSE: 461.299042, IC: -0.007953, RIC: -0.009902, Precision@10: 0.156250
Epoch 20/100, running_loss: 92.611833, test_loss: 529.329956, MSE: 428.290619, IC: -0.000481, RIC: 0.004580, Precision@10: 0.151042
Epoch 21/100, running_loss: 87.137335, test_loss: 542.022441, MSE: 435.497314, IC: 0.028753, RIC: 0.004575, Precision@10: 0.153125
Epoch 22/100, running_loss: 85.260788, test_loss: 524.168711, MSE: 420.014404, IC: 0.000841, RIC: -0.026181, Precision@10: 0.133333
Epoch 23/100, running_loss: 85.111621, test_loss: 541.842946, MSE: 433.624664, IC: 0.005144, RIC: -0.007484, Precision@10: 0.136458
Epoch 24/100, running_loss: 81.929251, test_loss: 546.540222, MSE: 430.846039, IC: -0.013997, RIC: -0.012028, Precision@10: 0.135417
Epoch 25/100, running_loss: 83.448896, test_loss: 534.810181, MSE: 427.866425, IC: 0.021558, RIC: 0.007379, Precision@10: 0.142708
Epoch 26/100, running_loss: 83.129246, test_loss: 618.897909, MSE: 497.132080, IC: -0.030859, RIC: -0.047383, Precision@10: 0.135417
