train_size: 2259
test_size: 251
begin training...
total train batches71
total test_batches8
Epoch 1/100, running_loss: 237989.813112, test_loss: 12421.661011, MSE: 12293.275391, IC: -0.003339, RIC: -0.004822, Precision@10: 0.073973
Best model saved at epoch 1
Epoch 2/100, running_loss: 4873.744264, test_loss: 7760.916809, MSE: 7660.330078, IC: -0.010407, RIC: -0.013905, Precision@10: 0.064222
Epoch 3/100, running_loss: 2397.685231, test_loss: 6316.063293, MSE: 6214.391602, IC: -0.011866, RIC: -0.012964, Precision@10: 0.063368
Epoch 4/100, running_loss: 1588.576822, test_loss: 5530.046509, MSE: 5429.634766, IC: -0.010155, RIC: -0.010467, Precision@10: 0.058970
Epoch 5/100, running_loss: 1140.076782, test_loss: 4829.171509, MSE: 4730.092285, IC: -0.009768, RIC: -0.011006, Precision@10: 0.057697
Epoch 6/100, running_loss: 941.091622, test_loss: 4245.450714, MSE: 4144.011719, IC: -0.009924, RIC: -0.012979, Precision@10: 0.061386
Epoch 7/100, running_loss: 761.721023, test_loss: 3811.580841, MSE: 3709.997070, IC: -0.009187, RIC: -0.012411, Precision@10: 0.058261
Epoch 8/100, running_loss: 663.680374, test_loss: 3368.411926, MSE: 3265.499023, IC: -0.008535, RIC: -0.012221, Precision@10: 0.059549
Epoch 9/100, running_loss: 590.261626, test_loss: 3060.543259, MSE: 2957.622559, IC: -0.010737, RIC: -0.015181, Precision@10: 0.061994
Epoch 10/100, running_loss: 541.523394, test_loss: 2768.111542, MSE: 2662.954102, IC: -0.012412, RIC: -0.017143, Precision@10: 0.066102
Epoch 11/100, running_loss: 499.603064, test_loss: 2625.833557, MSE: 2521.356445, IC: -0.011109, RIC: -0.015742, Precision@10: 0.063194
Epoch 12/100, running_loss: 440.176689, test_loss: 2471.771240, MSE: 2366.505615, IC: -0.012389, RIC: -0.018131, Precision@10: 0.065611
Epoch 13/100, running_loss: 404.213197, test_loss: 2383.542053, MSE: 2279.164062, IC: -0.012509, RIC: -0.017868, Precision@10: 0.065292
Epoch 14/100, running_loss: 377.862840, test_loss: 2239.838379, MSE: 2134.908203, IC: -0.012459, RIC: -0.018141, Precision@10: 0.067144
Epoch 15/100, running_loss: 356.501882, test_loss: 2155.383759, MSE: 2049.649414, IC: -0.014717, RIC: -0.020811, Precision@10: 0.065394
Epoch 16/100, running_loss: 336.958579, test_loss: 2117.199341, MSE: 2012.071777, IC: -0.015543, RIC: -0.022227, Precision@10: 0.068490
Epoch 17/100, running_loss: 312.598106, test_loss: 2070.954758, MSE: 1966.205566, IC: -0.016000, RIC: -0.022494, Precision@10: 0.067954
