0001.HK,长和
0002.HK,中电控股
0003.HK,香港中华煤气
0005.HK,汇丰控股有限公司
0006.HK,电能实业
0011.HK,恒生银行
0012.HK,恒基地产
0016.HK,新鸿基地产
0066.HK,港铁公司
0101.HK,恒隆地产
0267.HK,中信股份
0291.HK,华润啤酒
0386.HK,中国石油化工股份
0388.HK,香港交易所
0688.HK,中国海外发展
0762.HK,中国联通
0857.HK,中国石油股份
0883.HK,中国海洋石油
0939.HK,建设银行
0941.HK,中国移动
1038.HK,长江基建集团
1398.HK,工商银行
2318.HK,中国平安
2388.HK,中银香港
2628.HK,中国人寿
0836.HK,华润电力
1044.HK,恒安国际
1211.HK,比亚迪股份
2319.HK,蒙牛乳业
2899.HK,紫金矿业
0322.HK,康师傅控股
1109.HK,华润置地
3968.HK,招商银行
80992.HK,联想集团
1299.HK,友邦保险
1928.HK,金沙中国
0027.HK,银河娱乐
80175.HK,吉利汽车
0316.HK,东方海外国际
0823.HK,领展房产基金
0868.HK,信义玻璃
0960.HK,龙湖集团
1099.HK,国药控股
1177.HK,中国生物制药
1929.HK,周大福
2313.HK,申洲国际
2688.HK,新奥能源
0669.HK,创科实业
0881.HK,中升控股
0981.HK,中芯国际
2331.HK,李宁
0285.HK,比亚迪电子
1093.HK,石药集团
1997.HK,九龙仓置业
2020.HK,安踏体育
1088.HK,中国神华
3988.HK,中国银行
80700.HK,腾讯控股
0288.HK,万洲国际
0968.HK,信义光能
1378.HK,中国宏桥
2382.HK,舜宇光学科技
0241.HK,阿里健康
1113.HK,长实集团
1810.HK,小米集团-W
3690.HK,美团-W
6862.HK,海底捞
2359.HK,药明康德
3692.HK,翰森制药
1876.HK,百威亚太
9988.HK,阿里巴巴-W
9999.HK,网易-S
9618.HK,京东集团-SW
9633.HK,农夫山泉
9901.HK,新东方
1209.HK,华润万象生活
6618.HK,京东健康
2269.HK,药明生物
6690.HK,海尔智家
1024.HK,快手
9888.HK,百度集团
9961.HK,携程集团
2015.HK,理想汽车-W
